# Unicode Characters in the Unified Canadian Aboriginal Syllabics Extended Block
# Source: http://www.fileformat.info/info/unicode/block/unified_canadian_aboriginal_syllabics_extended/list.htm
"U+18C4", "\xe1\xa3\x84", "CANADIAN SYLLABICS YAY (U+18C4)"
"U+18C5", "\xe1\xa3\x85", "CANADIAN SYLLABICS RAY (U+18C5)"
"U+18C6", "\xe1\xa3\x86", "CANADIAN SYLLABICS NWI (U+18C6)"
"U+18C7", "\xe1\xa3\x87", "CANADIAN SYLLABICS OJIBWAY NWI (U+18C7)"
"U+18C8", "\xe1\xa3\x88", "CANADIAN SYLLABICS NWII (U+18C8)"
"U+18C9", "\xe1\xa3\x89", "CANADIAN SYLLABICS OJIBWAY NWII (U+18C9)"
"U+18CA", "\xe1\xa3\x8a", "CANADIAN SYLLABICS NWO (U+18CA)"
"U+18CB", "\xe1\xa3\x8b", "CANADIAN SYLLABICS OJIBWAY NWO (U+18CB)"
"U+18CC", "\xe1\xa3\x8c", "CANADIAN SYLLABICS NWOO (U+18CC)"
"U+18CD", "\xe1\xa3\x8d", "CANADIAN SYLLABICS OJIBWAY NWOO (U+18CD)"
"U+18CE", "\xe1\xa3\x8e", "CANADIAN SYLLABICS RWEE (U+18CE)"
"U+18CF", "\xe1\xa3\x8f", "CANADIAN SYLLABICS RWI (U+18CF)"
"U+18D0", "\xe1\xa3\x90", "CANADIAN SYLLABICS RWII (U+18D0)"
"U+18D1", "\xe1\xa3\x91", "CANADIAN SYLLABICS RWO (U+18D1)"
"U+18D2", "\xe1\xa3\x92", "CANADIAN SYLLABICS RWOO (U+18D2)"
"U+18D3", "\xe1\xa3\x93", "CANADIAN SYLLABICS RWA (U+18D3)"
"U+18D4", "\xe1\xa3\x94", "CANADIAN SYLLABICS OJIBWAY P (U+18D4)"
"U+18D5", "\xe1\xa3\x95", "CANADIAN SYLLABICS OJIBWAY T (U+18D5)"
"U+18D6", "\xe1\xa3\x96", "CANADIAN SYLLABICS OJIBWAY K (U+18D6)"
"U+18D7", "\xe1\xa3\x97", "CANADIAN SYLLABICS OJIBWAY C (U+18D7)"
"U+18D8", "\xe1\xa3\x98", "CANADIAN SYLLABICS OJIBWAY M (U+18D8)"
"U+18D9", "\xe1\xa3\x99", "CANADIAN SYLLABICS OJIBWAY N (U+18D9)"
"U+18DA", "\xe1\xa3\x9a", "CANADIAN SYLLABICS OJIBWAY S (U+18DA)"
"U+18DB", "\xe1\xa3\x9b", "CANADIAN SYLLABICS OJIBWAY SH (U+18DB)"
"U+18DC", "\xe1\xa3\x9c", "CANADIAN SYLLABICS EASTERN W (U+18DC)"
"U+18DD", "\xe1\xa3\x9d", "CANADIAN SYLLABICS WESTERN W (U+18DD)"
"U+18DE", "\xe1\xa3\x9e", "CANADIAN SYLLABICS FINAL SMALL RING (U+18DE)"
"U+18DF", "\xe1\xa3\x9f", "CANADIAN SYLLABICS FINAL RAISED DOT (U+18DF)"
"U+18E0", "\xe1\xa3\xa0", "CANADIAN SYLLABICS R-CREE RWE (U+18E0)"
"U+18E1", "\xe1\xa3\xa1", "CANADIAN SYLLABICS WEST-CREE LOO (U+18E1)"
"U+18E2", "\xe1\xa3\xa2", "CANADIAN SYLLABICS WEST-CREE LAA (U+18E2)"
"U+18E3", "\xe1\xa3\xa3", "CANADIAN SYLLABICS THWE (U+18E3)"
"U+18E4", "\xe1\xa3\xa4", "CANADIAN SYLLABICS THWA (U+18E4)"
"U+18E5", "\xe1\xa3\xa5", "CANADIAN SYLLABICS TTHWE (U+18E5)"
"U+18E6", "\xe1\xa3\xa6", "CANADIAN SYLLABICS TTHOO (U+18E6)"
"U+18E7", "\xe1\xa3\xa7", "CANADIAN SYLLABICS TTHAA (U+18E7)"
"U+18E8", "\xe1\xa3\xa8", "CANADIAN SYLLABICS TLHWE (U+18E8)"
"U+18E9", "\xe1\xa3\xa9", "CANADIAN SYLLABICS TLHOO (U+18E9)"
"U+18EA", "\xe1\xa3\xaa", "CANADIAN SYLLABICS SAYISI SHWE (U+18EA)"
"U+18EB", "\xe1\xa3\xab", "CANADIAN SYLLABICS SAYISI SHOO (U+18EB)"
"U+18EC", "\xe1\xa3\xac", "CANADIAN SYLLABICS SAYISI HOO (U+18EC)"
"U+18ED", "\xe1\xa3\xad", "CANADIAN SYLLABICS CARRIER GWU (U+18ED)"
"U+18EE", "\xe1\xa3\xae", "CANADIAN SYLLABICS CARRIER DENE GEE (U+18EE)"
"U+18EF", "\xe1\xa3\xaf", "CANADIAN SYLLABICS CARRIER GAA (U+18EF)"
"U+18F0", "\xe1\xa3\xb0", "CANADIAN SYLLABICS CARRIER GWA (U+18F0)"
"U+18F1", "\xe1\xa3\xb1", "CANADIAN SYLLABICS SAYISI JUU (U+18F1)"
"U+18F2", "\xe1\xa3\xb2", "CANADIAN SYLLABICS CARRIER JWA (U+18F2)"
"U+18F3", "\xe1\xa3\xb3", "CANADIAN SYLLABICS BEAVER DENE L (U+18F3)"
"U+18F4", "\xe1\xa3\xb4", "CANADIAN SYLLABICS BEAVER DENE R (U+18F4)"
"U+18F5", "\xe1\xa3\xb5", "CANADIAN SYLLABICS CARRIER DENTAL S (U+18F5)"
