# Unicode Characters in the Cherokee Block
# Source: http://www.fileformat.info/info/unicode/block/cherokee/list.htm
"U+13E7", "\xe1\x8f\xa7", "CHEROKEE LETTER TSU (U+13E7)"
"U+13E8", "\xe1\x8f\xa8", "CHEROKEE LETTER TSV (U+13E8)"
"U+13E9", "\xe1\x8f\xa9", "CHEROKEE LETTER WA (U+13E9)"
"U+13EA", "\xe1\x8f\xaa", "CHEROKEE LETTER WE (U+13EA)"
"U+13EB", "\xe1\x8f\xab", "CHEROKEE LETTER WI (U+13EB)"
"U+13EC", "\xe1\x8f\xac", "CHEROKEE LETTER WO (U+13EC)"
"U+13ED", "\xe1\x8f\xad", "CHEROKEE LETTER WU (U+13ED)"
"U+13EE", "\xe1\x8f\xae", "CHEROKEE LETTER WV (U+13EE)"
"U+13EF", "\xe1\x8f\xaf", "CHEROKEE LETTER YA (U+13EF)"
"U+13F0", "\xe1\x8f\xb0", "CHEROKEE LETTER YE (U+13F0)"
"U+13F1", "\xe1\x8f\xb1", "CHEROKEE LETTER YI (U+13F1)"
"U+13F2", "\xe1\x8f\xb2", "CHEROKEE LETTER YO (U+13F2)"
"U+13F3", "\xe1\x8f\xb3", "CHEROKEE LETTER YU (U+13F3)"
"U+13F4", "\xe1\x8f\xb4", "CHEROKEE LETTER YV (U+13F4)"
