# Unicode Characters in the Hebrew Block
# Source: http://www.fileformat.info/info/unicode/block/hebrew/list.htm
"U+05E4", "\xd7\xa4", "HEBREW LETTER PE (U+05E4)"
"U+05E5", "\xd7\xa5", "HEBREW LETTER FINAL TSADI (U+05E5)"
"U+05E6", "\xd7\xa6", "HEBREW LETTER TSADI (U+05E6)"
"U+05E7", "\xd7\xa7", "HEBREW LETTER QOF (U+05E7)"
"U+05E8", "\xd7\xa8", "HEBREW LETTER RESH (U+05E8)"
"U+05E9", "\xd7\xa9", "HEBREW LETTER SHIN (U+05E9)"
"U+05EA", "\xd7\xaa", "HEBREW LETTER TAV (U+05EA)"
"U+05F0", "\xd7\xb0", "HEBREW LIGATURE YIDDISH DOUBLE VAV (U+05F0)"
"U+05F1", "\xd7\xb1", "HEBREW LIGATURE YIDDISH VAV YOD (U+05F1)"
"U+05F2", "\xd7\xb2", "HEBREW LIGATURE YIDDISH DOUBLE YOD (U+05F2)"
"U+05F3", "\xd7\xb3", "HEBREW PUNCTUATION GERESH (U+05F3)"
"U+05F4", "\xd7\xb4", "HEBREW PUNCTUATION GERSHAYIM (U+05F4)"
