# Unicode Characters in the Sharada Block
# Source: http://www.fileformat.info/info/unicode/block/sharada/list.htm
"U+111C5", "\xe1\x84\x9c\x35", "SHARADA DANDA (U+111C5)"
"U+111C6", "\xe1\x84\x9c\x36", "SHARADA DOUBLE DANDA (U+111C6)"
"U+111C7", "\xe1\x84\x9c\x37", "SHARADA ABBREVIATION SIGN (U+111C7)"
"U+111C8", "\xe1\x84\x9c\x38", "SHARADA SEPARATOR (U+111C8)"
"U+111D0", "\xe1\x84\x9d\x30", "SHARADA DIGIT ZERO (U+111D0)"
"U+111D1", "\xe1\x84\x9d\x31", "SHARADA DIGIT ONE (U+111D1)"
"U+111D2", "\xe1\x84\x9d\x32", "SHARADA DIGIT TWO (U+111D2)"
"U+111D3", "\xe1\x84\x9d\x33", "SHARADA DIGIT THREE (U+111D3)"
"U+111D4", "\xe1\x84\x9d\x34", "SHARADA DIGIT FOUR (U+111D4)"
"U+111D5", "\xe1\x84\x9d\x35", "SHARADA DIGIT FIVE (U+111D5)"
"U+111D6", "\xe1\x84\x9d\x36", "SHARADA DIGIT SIX (U+111D6)"
"U+111D7", "\xe1\x84\x9d\x37", "SHARADA DIGIT SEVEN (U+111D7)"
"U+111D8", "\xe1\x84\x9d\x38", "SHARADA DIGIT EIGHT (U+111D8)"
"U+111D9", "\xe1\x84\x9d\x39", "SHARADA DIGIT NINE (U+111D9)"
