# Unicode Characters in the Tamil Block
# Source: http://www.fileformat.info/info/unicode/block/tamil/list.htm
"U+0BF1", "\xe0\xaf\xb1", "TAMIL NUMBER ONE HUNDRED (U+0BF1)"
"U+0BF2", "\xe0\xaf\xb2", "TAMIL NUMBER ONE THOUSAND (U+0BF2)"
"U+0BF3", "\xe0\xaf\xb3", "TAMIL DAY SIGN (U+0BF3)"
"U+0BF4", "\xe0\xaf\xb4", "TAMIL MONTH SIGN (U+0BF4)"
"U+0BF5", "\xe0\xaf\xb5", "TAMIL YEAR SIGN (U+0BF5)"
"U+0BF6", "\xe0\xaf\xb6", "TAMIL DEBIT SIGN (U+0BF6)"
"U+0BF7", "\xe0\xaf\xb7", "TAMIL CREDIT SIGN (U+0BF7)"
"U+0BF8", "\xe0\xaf\xb8", "TAMIL AS ABOVE SIGN (U+0BF8)"
"U+0BF9", "\xe0\xaf\xb9", "TAMIL RUPEE SIGN (U+0BF9)"
"U+0BFA", "\xe0\xaf\xba", "TAMIL NUMBER SIGN (U+0BFA)"
