# Unicode Characters in the Oriya Block
# Source: http://www.fileformat.info/info/unicode/block/oriya/list.htm
"U+0B27", "\xe0\xac\xa7", "ORIYA LETTER DHA (U+0B27)"
"U+0B28", "\xe0\xac\xa8", "ORIYA LETTER NA (U+0B28)"
"U+0B2A", "\xe0\xac\xaa", "ORIYA LETTER PA (U+0B2A)"
"U+0B2B", "\xe0\xac\xab", "ORIYA LETTER PHA (U+0B2B)"
"U+0B2C", "\xe0\xac\xac", "ORIYA LETTER BA (U+0B2C)"
"U+0B2D", "\xe0\xac\xad", "ORIYA LETTER BHA (U+0B2D)"
"U+0B2E", "\xe0\xac\xae", "ORIYA LETTER MA (U+0B2E)"
"U+0B2F", "\xe0\xac\xaf", "ORIYA LETTER YA (U+0B2F)"
"U+0B30", "\xe0\xac\xb0", "ORIYA LETTER RA (U+0B30)"
"U+0B32", "\xe0\xac\xb2", "ORIYA LETTER LA (U+0B32)"
"U+0B33", "\xe0\xac\xb3", "ORIYA LETTER LLA (U+0B33)"
"U+0B35", "\xe0\xac\xb5", "ORIYA LETTER VA (U+0B35)"
"U+0B36", "\xe0\xac\xb6", "ORIYA LETTER SHA (U+0B36)"
"U+0B37", "\xe0\xac\xb7", "ORIYA LETTER SSA (U+0B37)"
"U+0B38", "\xe0\xac\xb8", "ORIYA LETTER SA (U+0B38)"
"U+0B39", "\xe0\xac\xb9", "ORIYA LETTER HA (U+0B39)"
"U+0B3C", "\xe0\xac\xbc", "ORIYA SIGN NUKTA (U+0B3C)"
"U+0B3D", "\xe0\xac\xbd", "ORIYA SIGN AVAGRAHA (U+0B3D)"
"U+0B3E", "\xe0\xac\xbe", "ORIYA VOWEL SIGN AA (U+0B3E)"
"U+0B3F", "\xe0\xac\xbf", "ORIYA VOWEL SIGN I (U+0B3F)"
"U+0B40", "\xe0\xad\x80", "ORIYA VOWEL SIGN II (U+0B40)"
"U+0B41", "\xe0\xad\x81", "ORIYA VOWEL SIGN U (U+0B41)"
"U+0B42", "\xe0\xad\x82", "ORIYA VOWEL SIGN UU (U+0B42)"
"U+0B43", "\xe0\xad\x83", "ORIYA VOWEL SIGN VOCALIC R (U+0B43)"
"U+0B44", "\xe0\xad\x84", "ORIYA VOWEL SIGN VOCALIC RR (U+0B44)"
"U+0B47", "\xe0\xad\x87", "ORIYA VOWEL SIGN E (U+0B47)"
"U+0B48", "\xe0\xad\x88", "ORIYA VOWEL SIGN AI (U+0B48)"
"U+0B4B", "\xe0\xad\x8b", "ORIYA VOWEL SIGN O (U+0B4B)"
"U+0B4C", "\xe0\xad\x8c", "ORIYA VOWEL SIGN AU (U+0B4C)"
"U+0B4D", "\xe0\xad\x8d", "ORIYA SIGN VIRAMA (U+0B4D)"
"U+0B56", "\xe0\xad\x96", "ORIYA AI LENGTH MARK (U+0B56)"
"U+0B57", "\xe0\xad\x97", "ORIYA AU LENGTH MARK (U+0B57)"
"U+0B5C", "\xe0\xad\x9c", "ORIYA LETTER RRA (U+0B5C)"
"U+0B5D", "\xe0\xad\x9d", "ORIYA LETTER RHA (U+0B5D)"
"U+0B5F", "\xe0\xad\x9f", "ORIYA LETTER YYA (U+0B5F)"
"U+0B60", "\xe0\xad\xa0", "ORIYA LETTER VOCALIC RR (U+0B60)"
"U+0B61", "\xe0\xad\xa1", "ORIYA LETTER VOCALIC LL (U+0B61)"
"U+0B62", "\xe0\xad\xa2", "ORIYA VOWEL SIGN VOCALIC L (U+0B62)"
"U+0B63", "\xe0\xad\xa3", "ORIYA VOWEL SIGN VOCALIC LL (U+0B63)"
"U+0B66", "\xe0\xad\xa6", "ORIYA DIGIT ZERO (U+0B66)"
"U+0B67", "\xe0\xad\xa7", "ORIYA DIGIT ONE (U+0B67)"
"U+0B68", "\xe0\xad\xa8", "ORIYA DIGIT TWO (U+0B68)"
"U+0B69", "\xe0\xad\xa9", "ORIYA DIGIT THREE (U+0B69)"
"U+0B6A", "\xe0\xad\xaa", "ORIYA DIGIT FOUR (U+0B6A)"
"U+0B6B", "\xe0\xad\xab", "ORIYA DIGIT FIVE (U+0B6B)"
"U+0B6C", "\xe0\xad\xac", "ORIYA DIGIT SIX (U+0B6C)"
"U+0B6D", "\xe0\xad\xad", "ORIYA DIGIT SEVEN (U+0B6D)"
"U+0B6E", "\xe0\xad\xae", "ORIYA DIGIT EIGHT (U+0B6E)"
"U+0B6F", "\xe0\xad\xaf", "ORIYA DIGIT NINE (U+0B6F)"
"U+0B70", "\xe0\xad\xb0", "ORIYA ISSHAR (U+0B70)"
"U+0B71", "\xe0\xad\xb1", "ORIYA LETTER WA (U+0B71)"
"U+0B72", "\xe0\xad\xb2", "ORIYA FRACTION ONE QUARTER (U+0B72)"
"U+0B73", "\xe0\xad\xb3", "ORIYA FRACTION ONE HALF (U+0B73)"
"U+0B74", "\xe0\xad\xb4", "ORIYA FRACTION THREE QUARTERS (U+0B74)"
"U+0B75", "\xe0\xad\xb5", "ORIYA FRACTION ONE SIXTEENTH (U+0B75)"
"U+0B76", "\xe0\xad\xb6", "ORIYA FRACTION ONE EIGHTH (U+0B76)"
"U+0B77", "\xe0\xad\xb7", "ORIYA FRACTION THREE SIXTEENTHS (U+0B77)"
