# Unicode Characters in the Javanese Block
# Source: http://www.fileformat.info/info/unicode/block/javanese/list.htm
"U+A9C5", "\xea\xa7\x85", "JAVANESE PADA LUHUR (U+A9C5)"
"U+A9C6", "\xea\xa7\x86", "JAVANESE PADA WINDU (U+A9C6)"
"U+A9C7", "\xea\xa7\x87", "JAVANESE PADA PANGKAT (U+A9C7)"
"U+A9C8", "\xea\xa7\x88", "JAVANESE PADA LINGSA (U+A9C8)"
"U+A9C9", "\xea\xa7\x89", "JAVANESE PADA LUNGSI (U+A9C9)"
"U+A9CA", "\xea\xa7\x8a", "JAVANESE PADA ADEG (U+A9CA)"
"U+A9CB", "\xea\xa7\x8b", "JAVANESE PADA ADEG ADEG (U+A9CB)"
"U+A9CC", "\xea\xa7\x8c", "JAVANESE PADA PISELEH (U+A9CC)"
"U+A9CD", "\xea\xa7\x8d", "JAVANESE TURNED PADA PISELEH (U+A9CD)"
"U+A9CF", "\xea\xa7\x8f", "JAVANESE PANGRANGKEP (U+A9CF)"
"U+A9D0", "\xea\xa7\x90", "JAVANESE DIGIT ZERO (U+A9D0)"
"U+A9D1", "\xea\xa7\x91", "JAVANESE DIGIT ONE (U+A9D1)"
"U+A9D2", "\xea\xa7\x92", "JAVANESE DIGIT TWO (U+A9D2)"
"U+A9D3", "\xea\xa7\x93", "JAVANESE DIGIT THREE (U+A9D3)"
"U+A9D4", "\xea\xa7\x94", "JAVANESE DIGIT FOUR (U+A9D4)"
"U+A9D5", "\xea\xa7\x95", "JAVANESE DIGIT FIVE (U+A9D5)"
"U+A9D6", "\xea\xa7\x96", "JAVANESE DIGIT SIX (U+A9D6)"
"U+A9D7", "\xea\xa7\x97", "JAVANESE DIGIT SEVEN (U+A9D7)"
"U+A9D8", "\xea\xa7\x98", "JAVANESE DIGIT EIGHT (U+A9D8)"
"U+A9D9", "\xea\xa7\x99", "JAVANESE DIGIT NINE (U+A9D9)"
"U+A9DE", "\xea\xa7\x9e", "JAVANESE PADA TIRTA TUMETES (U+A9DE)"
"U+A9DF", "\xea\xa7\x9f", "JAVANESE PADA ISEN-ISEN (U+A9DF)"
