# Unicode Characters in the Tibetan Block
# Source: http://www.fileformat.info/info/unicode/block/tibetan/list.htm
"U+0F3C", "\xe0\xbc\xbc", "TIBETAN MARK ANG KHANG GYON (U+0F3C)"
"U+0F3D", "\xe0\xbc\xbd", "TIBETAN MARK ANG KHANG GYAS (U+0F3D)"
"U+0F3E", "\xe0\xbc\xbe", "TIBETAN SIGN YAR TSHES (U+0F3E)"
"U+0F3F", "\xe0\xbc\xbf", "TIBETAN SIGN MAR TSHES (U+0F3F)"
"U+0F40", "\xe0\xbd\x80", "TIBETAN LETTER KA (U+0F40)"
"U+0F41", "\xe0\xbd\x81", "TIBETAN LETTER KHA (U+0F41)"
"U+0F42", "\xe0\xbd\x82", "TIBETAN LETTER GA (U+0F42)"
"U+0F43", "\xe0\xbd\x83", "TIBETAN LETTER GHA (U+0F43)"
"U+0F44", "\xe0\xbd\x84", "TIBETAN LETTER NGA (U+0F44)"
"U+0F45", "\xe0\xbd\x85", "TIBETAN LETTER CA (U+0F45)"
"U+0F46", "\xe0\xbd\x86", "TIBETAN LETTER CHA (U+0F46)"
"U+0F47", "\xe0\xbd\x87", "TIBETAN LETTER JA (U+0F47)"
"U+0F49", "\xe0\xbd\x89", "TIBETAN LETTER NYA (U+0F49)"
"U+0F4A", "\xe0\xbd\x8a", "TIBETAN LETTER TTA (U+0F4A)"
"U+0F4B", "\xe0\xbd\x8b", "TIBETAN LETTER TTHA (U+0F4B)"
"U+0F4C", "\xe0\xbd\x8c", "TIBETAN LETTER DDA (U+0F4C)"
"U+0F4D", "\xe0\xbd\x8d", "TIBETAN LETTER DDHA (U+0F4D)"
"U+0F4E", "\xe0\xbd\x8e", "TIBETAN LETTER NNA (U+0F4E)"
"U+0F4F", "\xe0\xbd\x8f", "TIBETAN LETTER TA (U+0F4F)"
"U+0F50", "\xe0\xbd\x90", "TIBETAN LETTER THA (U+0F50)"
"U+0F51", "\xe0\xbd\x91", "TIBETAN LETTER DA (U+0F51)"
"U+0F52", "\xe0\xbd\x92", "TIBETAN LETTER DHA (U+0F52)"
"U+0F53", "\xe0\xbd\x93", "TIBETAN LETTER NA (U+0F53)"
"U+0F54", "\xe0\xbd\x94", "TIBETAN LETTER PA (U+0F54)"
"U+0F55", "\xe0\xbd\x95", "TIBETAN LETTER PHA (U+0F55)"
"U+0F56", "\xe0\xbd\x96", "TIBETAN LETTER BA (U+0F56)"
"U+0F57", "\xe0\xbd\x97", "TIBETAN LETTER BHA (U+0F57)"
"U+0F58", "\xe0\xbd\x98", "TIBETAN LETTER MA (U+0F58)"
"U+0F59", "\xe0\xbd\x99", "TIBETAN LETTER TSA (U+0F59)"
"U+0F5A", "\xe0\xbd\x9a", "TIBETAN LETTER TSHA (U+0F5A)"
"U+0F5B", "\xe0\xbd\x9b", "TIBETAN LETTER DZA (U+0F5B)"
"U+0F5C", "\xe0\xbd\x9c", "TIBETAN LETTER DZHA (U+0F5C)"
"U+0F5D", "\xe0\xbd\x9d", "TIBETAN LETTER WA (U+0F5D)"
"U+0F5E", "\xe0\xbd\x9e", "TIBETAN LETTER ZHA (U+0F5E)"
"U+0F5F", "\xe0\xbd\x9f", "TIBETAN LETTER ZA (U+0F5F)"
"U+0F60", "\xe0\xbd\xa0", "TIBETAN LETTER -A (U+0F60)"
"U+0F61", "\xe0\xbd\xa1", "TIBETAN LETTER YA (U+0F61)"
"U+0F62", "\xe0\xbd\xa2", "TIBETAN LETTER RA (U+0F62)"
"U+0F63", "\xe0\xbd\xa3", "TIBETAN LETTER LA (U+0F63)"
"U+0F64", "\xe0\xbd\xa4", "TIBETAN LETTER SHA (U+0F64)"
"U+0F65", "\xe0\xbd\xa5", "TIBETAN LETTER SSA (U+0F65)"
"U+0F66", "\xe0\xbd\xa6", "TIBETAN LETTER SA (U+0F66)"
"U+0F67", "\xe0\xbd\xa7", "TIBETAN LETTER HA (U+0F67)"
"U+0F68", "\xe0\xbd\xa8", "TIBETAN LETTER A (U+0F68)"
"U+0F69", "\xe0\xbd\xa9", "TIBETAN LETTER KSSA (U+0F69)"
"U+0F6A", "\xe0\xbd\xaa", "TIBETAN LETTER FIXED-FORM RA (U+0F6A)"
"U+0F6B", "\xe0\xbd\xab", "TIBETAN LETTER KKA (U+0F6B)"
"U+0F6C", "\xe0\xbd\xac", "TIBETAN LETTER RRA (U+0F6C)"
"U+0F71", "\xe0\xbd\xb1", "TIBETAN VOWEL SIGN AA (U+0F71)"
"U+0F72", "\xe0\xbd\xb2", "TIBETAN VOWEL SIGN I (U+0F72)"
"U+0F73", "\xe0\xbd\xb3", "TIBETAN VOWEL SIGN II (U+0F73)"
"U+0F74", "\xe0\xbd\xb4", "TIBETAN VOWEL SIGN U (U+0F74)"
"U+0F75", "\xe0\xbd\xb5", "TIBETAN VOWEL SIGN UU (U+0F75)"
"U+0F76", "\xe0\xbd\xb6", "TIBETAN VOWEL SIGN VOCALIC R (U+0F76)"
"U+0F77", "\xe0\xbd\xb7", "TIBETAN VOWEL SIGN VOCALIC RR (U+0F77)"
"U+0F78", "\xe0\xbd\xb8", "TIBETAN VOWEL SIGN VOCALIC L (U+0F78)"
"U+0F79", "\xe0\xbd\xb9", "TIBETAN VOWEL SIGN VOCALIC LL (U+0F79)"
"U+0F7A", "\xe0\xbd\xba", "TIBETAN VOWEL SIGN E (U+0F7A)"
"U+0F7B", "\xe0\xbd\xbb", "TIBETAN VOWEL SIGN EE (U+0F7B)"
"U+0F7C", "\xe0\xbd\xbc", "TIBETAN VOWEL SIGN O (U+0F7C)"
"U+0F7D", "\xe0\xbd\xbd", "TIBETAN VOWEL SIGN OO (U+0F7D)"
"U+0F7E", "\xe0\xbd\xbe", "TIBETAN SIGN RJES SU NGA RO (U+0F7E)"
"U+0F7F", "\xe0\xbd\xbf", "TIBETAN SIGN RNAM BCAD (U+0F7F)"
"U+0F80", "\xe0\xbe\x80", "TIBETAN VOWEL SIGN REVERSED I (U+0F80)"
"U+0F81", "\xe0\xbe\x81", "TIBETAN VOWEL SIGN REVERSED II (U+0F81)"
"U+0F82", "\xe0\xbe\x82", "TIBETAN SIGN NYI ZLA NAA DA (U+0F82)"
"U+0F83", "\xe0\xbe\x83", "TIBETAN SIGN SNA LDAN (U+0F83)"
"U+0F84", "\xe0\xbe\x84", "TIBETAN MARK HALANTA (U+0F84)"
"U+0F85", "\xe0\xbe\x85", "TIBETAN MARK PALUTA (U+0F85)"
"U+0F86", "\xe0\xbe\x86", "TIBETAN SIGN LCI RTAGS (U+0F86)"
"U+0F87", "\xe0\xbe\x87", "TIBETAN SIGN YANG RTAGS (U+0F87)"
"U+0F88", "\xe0\xbe\x88", "TIBETAN SIGN LCE TSA CAN (U+0F88)"
"U+0F89", "\xe0\xbe\x89", "TIBETAN SIGN MCHU CAN (U+0F89)"
"U+0F8A", "\xe0\xbe\x8a", "TIBETAN SIGN GRU CAN RGYINGS (U+0F8A)"
"U+0F8B", "\xe0\xbe\x8b", "TIBETAN SIGN GRU MED RGYINGS (U+0F8B)"
"U+0F8C", "\xe0\xbe\x8c", "TIBETAN SIGN INVERTED MCHU CAN (U+0F8C)"
"U+0F8D", "\xe0\xbe\x8d", "TIBETAN SUBJOINED SIGN LCE TSA CAN (U+0F8D)"
"U+0F8E", "\xe0\xbe\x8e", "TIBETAN SUBJOINED SIGN MCHU CAN (U+0F8E)"
