# Domino Tiles
U+1F07B, \xf0\x9f\x81\xbb, DOMINO TILE VERTICAL-03-03
U+1F07C, \xf0\x9f\x81\xbc, DOMINO TILE VERTICAL-03-04
U+1F07D, \xf0\x9f\x81\xbd, DOMINO TILE VERTICAL-03-05
U+1F07E, \xf0\x9f\x81\xbe, DOMINO TILE VERTICAL-03-06
U+1F07F, \xf0\x9f\x81\xbf, DOMINO TILE VERTICAL-04-00
U+1F080, \xf0\x9f\x82\x80, DOMINO TILE VERTICAL-04-01
U+1F081, \xf0\x9f\x82\x81, DOMINO TILE VERTICAL-04-02
U+1F082, \xf0\x9f\x82\x82, DOMINO TILE VERTICAL-04-03
U+1F083, \xf0\x9f\x82\x83, DOMINO TILE VERTICAL-04-04
U+1F084, \xf0\x9f\x82\x84, DOMINO TILE VERTICAL-04-05
U+1F085, \xf0\x9f\x82\x85, DOMINO TILE VERTICAL-04-06
U+1F086, \xf0\x9f\x82\x86, DOMINO TILE VERTICAL-05-00
U+1F087, \xf0\x9f\x82\x87, DOMINO TILE VERTICAL-05-01
U+1F088, \xf0\x9f\x82\x88, DOMINO TILE VERTICAL-05-02
U+1F089, \xf0\x9f\x82\x89, DOMINO TILE VERTICAL-05-03
U+1F08A, \xf0\x9f\x82\x8a, DOMINO TILE VERTICAL-05-04
U+1F08B, \xf0\x9f\x82\x8b, DOMINO TILE VERTICAL-05-05
U+1F08C, \xf0\x9f\x82\x8c, DOMINO TILE VERTICAL-05-06
U+1F08D, \xf0\x9f\x82\x8d, DOMINO TILE VERTICAL-06-00
U+1F08E, \xf0\x9f\x82\x8e, DOMINO TILE VERTICAL-06-01
U+1F08F, \xf0\x9f\x82\x8f, DOMINO TILE VERTICAL-06-02
U+1F090, \xf0\x9f\x82\x90, DOMINO TILE VERTICAL-06-03
U+1F091, \xf0\x9f\x82\x91, DOMINO TILE VERTICAL-06-04
U+1F092, \xf0\x9f\x82\x92, DOMINO TILE VERTICAL-06-05
U+1F093, \xf0\x9f\x82\x93, DOMINO TILE VERTICAL-06-06
U+1F0A0, \xf0\x9f\x82\xa0, PLAYING CARD BACK
U+1F0A1, \xf0\x9f\x82\xa1, PLAYING CARD ACE OF SPADES
U+1F0A2, \xf0\x9f\x82\xa2, PLAYING CARD TWO OF SPADES
U+1F0A3, \xf0\x9f\x82\xa3, PLAYING CARD THREE OF SPADES
U+1F0A4, \xf0\x9f\x82\xa4, PLAYING CARD FOUR OF SPADES
U+1F0A5, \xf0\x9f\x82\xa5, PLAYING CARD FIVE OF SPADES
U+1F0A6, \xf0\x9f\x82\xa6, PLAYING CARD SIX OF SPADES
U+1F0A7, \xf0\x9f\x82\xa7, PLAYING CARD SEVEN OF SPADES
U+1F0A8, \xf0\x9f\x82\xa8, PLAYING CARD EIGHT OF SPADES
U+1F0A9, \xf0\x9f\x82\xa9, PLAYING CARD NINE OF SPADES
U+1F0AA, \xf0\x9f\x82\xaa, PLAYING CARD TEN OF SPADES
U+1F0AB, \xf0\x9f\x82\xab, PLAYING CARD JACK OF SPADES
U+1F0AC, \xf0\x9f\x82\xac, PLAYING CARD KNIGHT OF SPADES
U+1F0AD, \xf0\x9f\x82\xad, PLAYING CARD QUEEN OF SPADES
U+1F0AE, \xf0\x9f\x82\xae, PLAYING CARD KING OF SPADES
U+1F0B1, \xf0\x9f\x82\xb1, PLAYING CARD ACE OF HEARTS
U+1F0B2, \xf0\x9f\x82\xb2, PLAYING CARD TWO OF HEARTS
U+1F0B3, \xf0\x9f\x82\xb3, PLAYING CARD THREE OF HEARTS
U+1F0B4, \xf0\x9f\x82\xb4, PLAYING CARD FOUR OF HEARTS
U+1F0B5, \xf0\x9f\x82\xb5, PLAYING CARD FIVE OF HEARTS
U+1F0B6, \xf0\x9f\x82\xb6, PLAYING CARD SIX OF HEARTS
U+1F0B7, \xf0\x9f\x82\xb7, PLAYING CARD SEVEN OF HEARTS
U+1F0B8, \xf0\x9f\x82\xb8, PLAYING CARD EIGHT OF HEARTS
U+1F0B9, \xf0\x9f\x82\xb9, PLAYING CARD NINE OF HEARTS
U+1F0BA, \xf0\x9f\x82\xba, PLAYING CARD TEN OF HEARTS
U+1F0BB, \xf0\x9f\x82\xbb, PLAYING CARD JACK OF HEARTS
U+1F0BC, \xf0\x9f\x82\xbc, PLAYING CARD KNIGHT OF HEARTS
U+1F0BD, \xf0\x9f\x82\xbd, PLAYING CARD QUEEN OF HEARTS
U+1F0BE, \xf0\x9f\x82\xbe, PLAYING CARD KING OF HEARTS
U+1F0C1, \xf0\x9f\x83\x81, PLAYING CARD ACE OF DIAMONDS
U+1F0C2, \xf0\x9f\x83\x82, PLAYING CARD TWO OF DIAMONDS
U+1F0C3, \xf0\x9f\x83\x83, PLAYING CARD THREE OF DIAMONDS
U+1F0C4, \xf0\x9f\x83\x84, PLAYING CARD FOUR OF DIAMONDS
U+1F0C5, \xf0\x9f\x83\x85, PLAYING CARD FIVE OF DIAMONDS
U+1F0C6, \xf0\x9f\x83\x86, PLAYING CARD SIX OF DIAMONDS
U+1F0C7, \xf0\x9f\x83\x87, PLAYING CARD SEVEN OF DIAMONDS
U+1F0C8, \xf0\x9f\x83\x88, PLAYING CARD EIGHT OF DIAMONDS
U+1F0C9, \xf0\x9f\x83\x89, PLAYING CARD NINE OF DIAMONDS
U+1F0CA, \xf0\x9f\x83\x8a, PLAYING CARD TEN OF DIAMONDS
U+1F0CB, \xf0\x9f\x83\x8b, PLAYING CARD JACK OF DIAMONDS
U+1F0CC, \xf0\x9f\x83\x8c, PLAYING CARD KNIGHT OF DIAMONDS
U+1F0CD, \xf0\x9f\x83\x8d, PLAYING CARD QUEEN OF DIAMONDS
U+1F0CE, \xf0\x9f\x83\x8e, PLAYING CARD KING OF DIAMONDS
U+1F0CF, \xf0\x9f\x83\x8f, PLAYING CARD BLACK JOKER
U+1F0D1, \xf0\x9f\x83\x91, PLAYING CARD ACE OF CLUBS
U+1F0D2, \xf0\x9f\x83\x92, PLAYING CARD TWO OF CLUBS
U+1F0D3, \xf0\x9f\x83\x93, PLAYING CARD THREE OF CLUBS
U+1F0D4, \xf0\x9f\x83\x94, PLAYING CARD FOUR OF CLUBS
U+1F0D5, \xf0\x9f\x83\x95, PLAYING CARD FIVE OF CLUBS
U+1F0D6, \xf0\x9f\x83\x96, PLAYING CARD SIX OF CLUBS
U+1F0D7, \xf0\x9f\x83\x97, PLAYING CARD SEVEN OF CLUBS
U+1F0D8, \xf0\x9f\x83\x98, PLAYING CARD EIGHT OF CLUBS
U+1F0D9, \xf0\x9f\x83\x99, PLAYING CARD NINE OF CLUBS
U+1F0DA, \xf0\x9f\x83\x9a, PLAYING CARD TEN OF CLUBS
U+1F0DB, \xf0\x9f\x83\x9b, PLAYING CARD JACK OF CLUBS
U+1F0DC, \xf0\x9f\x83\x9c, PLAYING CARD KNIGHT OF CLUBS
U+1F0DD, \xf0\x9f\x83\x9d, PLAYING CARD QUEEN OF CLUBS
