# Transport And Map Symbols
U+1F755, \xf0\x9f\x9d\x95, ALCHEMICAL SYMBOL FOR URINE
U+1F756, \xf0\x9f\x9d\x96, ALCHEMICAL SYMBOL FOR HORSE DUNG
U+1F757, \xf0\x9f\x9d\x97, ALCHEMICAL SYMBOL FOR ASHES
U+1F758, \xf0\x9f\x9d\x98, ALCHEMICAL SYMBOL FOR POT ASHES
U+1F759, \xf0\x9f\x9d\x99, ALCHEMICAL SYMBOL FOR BRICK
U+1F75A, \xf0\x9f\x9d\x9a, ALCHEMICAL SYMBOL FOR POWDERED BRICK
U+1F75B, \xf0\x9f\x9d\x9b, ALCHEMICAL SYMBOL FOR AMALGAM
U+1F75C, \xf0\x9f\x9d\x9c, ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM
U+1F75D, \xf0\x9f\x9d\x9d, ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM-2
U+1F75E, \xf0\x9f\x9d\x9e, ALCHEMICAL SYMBOL FOR SUBLIMATION
U+1F75F, \xf0\x9f\x9d\x9f, ALCHEMICAL SYMBOL FOR PRECIPITATE
U+1F760, \xf0\x9f\x9d\xa0, ALCHEMICAL SYMBOL FOR DISTILL
U+1F761, \xf0\x9f\x9d\xa1, ALCHEMICAL SYMBOL FOR DISSOLVE
U+1F762, \xf0\x9f\x9d\xa2, ALCHEMICAL SYMBOL FOR DISSOLVE-2
U+1F763, \xf0\x9f\x9d\xa3, ALCHEMICAL SYMBOL FOR PURIFY
U+1F764, \xf0\x9f\x9d\xa4, ALCHEMICAL SYMBOL FOR PUTREFACTION
U+1F765, \xf0\x9f\x9d\xa5, ALCHEMICAL SYMBOL FOR CRUCIBLE
U+1F766, \xf0\x9f\x9d\xa6, ALCHEMICAL SYMBOL FOR CRUCIBLE-2
U+1F767, \xf0\x9f\x9d\xa7, ALCHEMICAL SYMBOL FOR CRUCIBLE-3
U+1F768, \xf0\x9f\x9d\xa8, ALCHEMICAL SYMBOL FOR CRUCIBLE-4
U+1F769, \xf0\x9f\x9d\xa9, ALCHEMICAL SYMBOL FOR CRUCIBLE-5
U+1F76A, \xf0\x9f\x9d\xaa, ALCHEMICAL SYMBOL FOR ALEMBIC
U+1F76B, \xf0\x9f\x9d\xab, ALCHEMICAL SYMBOL FOR BATH OF MARY
U+1F76C, \xf0\x9f\x9d\xac, ALCHEMICAL SYMBOL FOR BATH OF VAPOURS
U+1F76D, \xf0\x9f\x9d\xad, ALCHEMICAL SYMBOL FOR RETORT
U+1F76E, \xf0\x9f\x9d\xae, ALCHEMICAL SYMBOL FOR HOUR
U+1F76F, \xf0\x9f\x9d\xaf, ALCHEMICAL SYMBOL FOR NIGHT
U+1F770, \xf0\x9f\x9d\xb0, ALCHEMICAL SYMBOL FOR DAY-NIGHT
U+1F771, \xf0\x9f\x9d\xb1, ALCHEMICAL SYMBOL FOR MONTH
U+1F772, \xf0\x9f\x9d\xb2, ALCHEMICAL SYMBOL FOR HALF DRAM
U+1F773, \xf0\x9f\x9d\xb3, ALCHEMICAL SYMBOL FOR HALF OUNCE
