# Gurmukhi
U+0A91, \xe0\xaa\x91, GUJARATI VOWEL CANDRA O
U+0A93, \xe0\xaa\x93, GUJARATI LETTER O
U+0A94, \xe0\xaa\x94, GUJARATI LETTER AU
U+0A95, \xe0\xaa\x95, GUJARATI LETTER KA
U+0A96, \xe0\xaa\x96, GUJARATI LETTER KHA
U+0A97, \xe0\xaa\x97, GUJARATI LETTER GA
U+0A98, \xe0\xaa\x98, GUJARATI LETTER GHA
U+0A99, \xe0\xaa\x99, GUJARATI LETTER NGA
U+0A9A, \xe0\xaa\x9a, GUJARATI LETTER CA
U+0A9B, \xe0\xaa\x9b, GUJARATI LETTER CHA
U+0A9C, \xe0\xaa\x9c, GUJARATI LETTER JA
U+0A9D, \xe0\xaa\x9d, GUJARATI LETTER JHA
U+0A9E, \xe0\xaa\x9e, GUJARATI LETTER NYA
U+0A9F, \xe0\xaa\x9f, GUJARATI LETTER TTA
U+0AA0, \xe0\xaa\xa0, GUJARATI LETTER TTHA
U+0AA1, \xe0\xaa\xa1, GUJARATI LETTER DDA
U+0AA2, \xe0\xaa\xa2, GUJARATI LETTER DDHA
U+0AA3, \xe0\xaa\xa3, GUJARATI LETTER NNA
U+0AA4, \xe0\xaa\xa4, GUJARATI LETTER TA
U+0AA5, \xe0\xaa\xa5, GUJARATI LETTER THA
U+0AA6, \xe0\xaa\xa6, GUJARATI LETTER DA
U+0AA7, \xe0\xaa\xa7, GUJARATI LETTER DHA
U+0AA8, \xe0\xaa\xa8, GUJARATI LETTER NA
U+0AAA, \xe0\xaa\xaa, GUJARATI LETTER PA
U+0AAB, \xe0\xaa\xab, GUJARATI LETTER PHA
U+0AAC, \xe0\xaa\xac, GUJARATI LETTER BA
U+0AAD, \xe0\xaa\xad, GUJARATI LETTER BHA
U+0AAE, \xe0\xaa\xae, GUJARATI LETTER MA
U+0AAF, \xe0\xaa\xaf, GUJARATI LETTER YA
U+0AB0, \xe0\xaa\xb0, GUJARATI LETTER RA
U+0AB2, \xe0\xaa\xb2, GUJARATI LETTER LA
U+0AB3, \xe0\xaa\xb3, GUJARATI LETTER LLA
U+0AB5, \xe0\xaa\xb5, GUJARATI LETTER VA
U+0AB6, \xe0\xaa\xb6, GUJARATI LETTER SHA
U+0AB7, \xe0\xaa\xb7, GUJARATI LETTER SSA
U+0AB8, \xe0\xaa\xb8, GUJARATI LETTER SA
U+0AB9, \xe0\xaa\xb9, GUJARATI LETTER HA
U+0ABC, \xe0\xaa\xbc, GUJARATI SIGN NUKTA
U+0ABD, \xe0\xaa\xbd, GUJARATI SIGN AVAGRAHA
U+0ABE, \xe0\xaa\xbe, GUJARATI VOWEL SIGN AA
U+0ABF, \xe0\xaa\xbf, GUJARATI VOWEL SIGN I
U+0AC0, \xe0\xab\x80, GUJARATI VOWEL SIGN II
U+0AC1, \xe0\xab\x81, GUJARATI VOWEL SIGN U
U+0AC2, \xe0\xab\x82, GUJARATI VOWEL SIGN UU
U+0AC3, \xe0\xab\x83, GUJARATI VOWEL SIGN VOCALIC R
U+0AC4, \xe0\xab\x84, GUJARATI VOWEL SIGN VOCALIC RR
U+0AC5, \xe0\xab\x85, GUJARATI VOWEL SIGN CANDRA E
U+0AC7, \xe0\xab\x87, GUJARATI VOWEL SIGN E
U+0AC8, \xe0\xab\x88, GUJARATI VOWEL SIGN AI
U+0AC9, \xe0\xab\x89, GUJARATI VOWEL SIGN CANDRA O
U+0ACB, \xe0\xab\x8b, GUJARATI VOWEL SIGN O
U+0ACC, \xe0\xab\x8c, GUJARATI VOWEL SIGN AU
U+0ACD, \xe0\xab\x8d, GUJARATI SIGN VIRAMA
U+0AD0, \xe0\xab\x90, GUJARATI OM
U+0AE0, \xe0\xab\xa0, GUJARATI LETTER VOCALIC RR
U+0AE1, \xe0\xab\xa1, GUJARATI LETTER VOCALIC LL
U+0AE2, \xe0\xab\xa2, GUJARATI VOWEL SIGN VOCALIC L
U+0AE3, \xe0\xab\xa3, GUJARATI VOWEL SIGN VOCALIC LL
U+0AE6, \xe0\xab\xa6, GUJARATI DIGIT ZERO
U+0AE7, \xe0\xab\xa7, GUJARATI DIGIT ONE
U+0AE8, \xe0\xab\xa8, GUJARATI DIGIT TWO
U+0AE9, \xe0\xab\xa9, GUJARATI DIGIT THREE
U+0AEA, \xe0\xab\xaa, GUJARATI DIGIT FOUR
U+0AEB, \xe0\xab\xab, GUJARATI DIGIT FIVE
U+0AEC, \xe0\xab\xac, GUJARATI DIGIT SIX
U+0AED, \xe0\xab\xad, GUJARATI DIGIT SEVEN
U+0AEE, \xe0\xab\xae, GUJARATI DIGIT EIGHT
U+0AEF, \xe0\xab\xaf, GUJARATI DIGIT NINE
U+0AF1, \xe0\xab\xb1, GUJARATI RUPEE SIGN
