# Cuneiform
U+1204C, \xf0\x92\x81\x8c, CUNEIFORM SIGN BI TIMES IGI GUNU
U+1204D, \xf0\x92\x81\x8d, CUNEIFORM SIGN BU
U+1204E, \xf0\x92\x81\x8e, CUNEIFORM SIGN BU OVER BU AB
U+1204F, \xf0\x92\x81\x8f, CUNEIFORM SIGN BU OVER BU UN
U+12050, \xf0\x92\x81\x90, CUNEIFORM SIGN BU CROSSING BU
U+12051, \xf0\x92\x81\x91, CUNEIFORM SIGN BULUG
U+12052, \xf0\x92\x81\x92, CUNEIFORM SIGN BULUG OVER BULUG
U+12053, \xf0\x92\x81\x93, CUNEIFORM SIGN BUR
U+12054, \xf0\x92\x81\x94, CUNEIFORM SIGN BUR2
U+12055, \xf0\x92\x81\x95, CUNEIFORM SIGN DA
U+12056, \xf0\x92\x81\x96, CUNEIFORM SIGN DAG
U+12057, \xf0\x92\x81\x97, CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH
U+12058, \xf0\x92\x81\x98, CUNEIFORM SIGN DAG KISIM5 TIMES AMAR
U+12059, \xf0\x92\x81\x99, CUNEIFORM SIGN DAG KISIM5 TIMES BALAG
U+1205A, \xf0\x92\x81\x9a, CUNEIFORM SIGN DAG KISIM5 TIMES BI
U+1205B, \xf0\x92\x81\x9b, CUNEIFORM SIGN DAG KISIM5 TIMES GA
U+1205C, \xf0\x92\x81\x9c, CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH
U+1205D, \xf0\x92\x81\x9d, CUNEIFORM SIGN DAG KISIM5 TIMES GI
U+1205E, \xf0\x92\x81\x9e, CUNEIFORM SIGN DAG KISIM5 TIMES GIR2
U+1205F, \xf0\x92\x81\x9f, CUNEIFORM SIGN DAG KISIM5 TIMES GUD
U+12060, \xf0\x92\x81\xa0, CUNEIFORM SIGN DAG KISIM5 TIMES HA
U+12061, \xf0\x92\x81\xa1, CUNEIFORM SIGN DAG KISIM5 TIMES IR
U+12062, \xf0\x92\x81\xa2, CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU
U+12063, \xf0\x92\x81\xa3, CUNEIFORM SIGN DAG KISIM5 TIMES KAK
U+12064, \xf0\x92\x81\xa4, CUNEIFORM SIGN DAG KISIM5 TIMES LA
U+12065, \xf0\x92\x81\xa5, CUNEIFORM SIGN DAG KISIM5 TIMES LU
U+12066, \xf0\x92\x81\xa6, CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2
U+12067, \xf0\x92\x81\xa7, CUNEIFORM SIGN DAG KISIM5 TIMES LUM
U+12068, \xf0\x92\x81\xa8, CUNEIFORM SIGN DAG KISIM5 TIMES NE
U+12069, \xf0\x92\x81\xa9, CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP
U+1206A, \xf0\x92\x81\xaa, CUNEIFORM SIGN DAG KISIM5 TIMES SI
