# Musical Symbols
U+1D148, \xf0\x9d\x85\x88, MUSICAL SYMBOL TRIANGLE NOTEHEAD UP WHITE
U+1D149, \xf0\x9d\x85\x89, MUSICAL SYMBOL TRIANGLE NOTEHEAD UP BLACK
U+1D14A, \xf0\x9d\x85\x8a, MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT WHITE
U+1D14B, \xf0\x9d\x85\x8b, MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT BLACK
U+1D14C, \xf0\x9d\x85\x8c, MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT WHITE
U+1D14D, \xf0\x9d\x85\x8d, MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT BLACK
U+1D14E, \xf0\x9d\x85\x8e, MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN WHITE
U+1D14F, \xf0\x9d\x85\x8f, MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN BLACK
U+1D150, \xf0\x9d\x85\x90, MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT WHITE
U+1D151, \xf0\x9d\x85\x91, MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT BLACK
U+1D152, \xf0\x9d\x85\x92, MUSICAL SYMBOL MOON NOTEHEAD WHITE
U+1D153, \xf0\x9d\x85\x93, MUSICAL SYMBOL MOON NOTEHEAD BLACK
U+1D154, \xf0\x9d\x85\x94, MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN WHITE
U+1D155, \xf0\x9d\x85\x95, MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN BLACK
U+1D156, \xf0\x9d\x85\x96, MUSICAL SYMBOL PARENTHESIS NOTEHEAD
U+1D157, \xf0\x9d\x85\x97, MUSICAL SYMBOL VOID NOTEHEAD
U+1D158, \xf0\x9d\x85\x98, MUSICAL SYMBOL NOTEHEAD BLACK
U+1D159, \xf0\x9d\x85\x99, MUSICAL SYMBOL NULL NOTEHEAD
U+1D15A, \xf0\x9d\x85\x9a, MUSICAL SYMBOL CLUSTER NOTEHEAD WHITE
U+1D15B, \xf0\x9d\x85\x9b, MUSICAL SYMBOL CLUSTER NOTEHEAD BLACK
U+1D15C, \xf0\x9d\x85\x9c, MUSICAL SYMBOL BREVE
U+1D15D, \xf0\x9d\x85\x9d, MUSICAL SYMBOL WHOLE NOTE
U+1D15E, \xf0\x9d\x85\x9e, MUSICAL SYMBOL HALF NOTE
U+1D15F, \xf0\x9d\x85\x9f, MUSICAL SYMBOL QUARTER NOTE
