# Egyptian Hieroglyphs
U+1304F, \xf0\x93\x81\x8f, EGYPTIAN HIEROGLYPH A070
U+13050, \xf0\x93\x81\x90, EGYPTIAN HIEROGLYPH B001
U+13051, \xf0\x93\x81\x91, EGYPTIAN HIEROGLYPH B002
U+13052, \xf0\x93\x81\x92, EGYPTIAN HIEROGLYPH B003
U+13053, \xf0\x93\x81\x93, EGYPTIAN HIEROGLYPH B004
U+13054, \xf0\x93\x81\x94, EGYPTIAN HIEROGLYPH B005
U+13055, \xf0\x93\x81\x95, EGYPTIAN HIEROGLYPH B005A
U+13056td>, \xf0\x93\x81\x96, EGYPTIAN HIEROGLYPH B006
U+13057, \xf0\x93\x81\x97, EGYPTIAN HIEROGLYPH B007
U+13058, \xf0\x93\x81\x98, EGYPTIAN HIEROGLYPH B008
U+13059, \xf0\x93\x81\x99, EGYPTIAN HIEROGLYPH B009
U+1305A, \xf0\x93\x81\x9a, EGYPTIAN HIEROGLYPH C001
U+1305B, \xf0\x93\x81\x9b, EGYPTIAN HIEROGLYPH C002
U+1305C, \xf0\x93\x81\x9c, EGYPTIAN HIEROGLYPH C002A
U+1305D, \xf0\x93\x81\x9d, EGYPTIAN HIEROGLYPH C002B
U+1305E, \xf0\x93\x81\x9e, EGYPTIAN HIEROGLYPH C002C
U+1305F, \xf0\x93\x81\x9f, EGYPTIAN HIEROGLYPH C003
U+13060, \xf0\x93\x81\xa0, EGYPTIAN HIEROGLYPH C004
U+13061, \xf0\x93\x81\xa1, EGYPTIAN HIEROGLYPH C005
U+13062, \xf0\x93\x81\xa2, EGYPTIAN HIEROGLYPH C006
U+13063, \xf0\x93\x81\xa3, EGYPTIAN HIEROGLYPH C007
U+13064, \xf0\x93\x81\xa4, EGYPTIAN HIEROGLYPH C008
U+13065, \xf0\x93\x81\xa5, EGYPTIAN HIEROGLYPH C009
U+13066, \xf0\x93\x81\xa6, EGYPTIAN HIEROGLYPH C010
U+13067, \xf0\x93\x81\xa7, EGYPTIAN HIEROGLYPH C010A
U+13068, \xf0\x93\x81\xa8, EGYPTIAN HIEROGLYPH C011
U+13069, \xf0\x93\x81\xa9, EGYPTIAN HIEROGLYPH C012
U+1306A, \xf0\x93\x81\xaa, EGYPTIAN HIEROGLYPH C013
U+1306B, \xf0\x93\x81\xab, EGYPTIAN HIEROGLYPH C014
U+1306C, \xf0\x93\x81\xac, EGYPTIAN HIEROGLYPH C015
U+1306D, \xf0\x93\x81\xad, EGYPTIAN HIEROGLYPH C016
U+1306E, \xf0\x93\x81\xae, EGYPTIAN HIEROGLYPH C017
U+1306F, \xf0\x93\x81\xaf, EGYPTIAN HIEROGLYPH C018
U+13070, \xf0\x93\x81\xb0, EGYPTIAN HIEROGLYPH C019
U+13071, \xf0\x93\x81\xb1, EGYPTIAN HIEROGLYPH C020
U+13072, \xf0\x93\x81\xb2, EGYPTIAN HIEROGLYPH C021
U+13073, \xf0\x93\x81\xb3, EGYPTIAN HIEROGLYPH C022
U+13074, \xf0\x93\x81\xb4, EGYPTIAN HIEROGLYPH C023
U+13075, \xf0\x93\x81\xb5, EGYPTIAN HIEROGLYPH C024
U+13076, \xf0\x93\x81\xb6, EGYPTIAN HIEROGLYPH D001
U+13077, \xf0\x93\x81\xb7, EGYPTIAN HIEROGLYPH D002
U+13078, \xf0\x93\x81\xb8, EGYPTIAN HIEROGLYPH D003
U+13079, \xf0\x93\x81\xb9, EGYPTIAN HIEROGLYPH D004
U+1307A, \xf0\x93\x81\xba, EGYPTIAN HIEROGLYPH D005
U+1307B, \xf0\x93\x81\xbb, EGYPTIAN HIEROGLYPH D006
U+1307C, \xf0\x93\x81\xbc, EGYPTIAN HIEROGLYPH D007
U+1307D, \xf0\x93\x81\xbd, EGYPTIAN HIEROGLYPH D008
