# Combining Diacritical Marks Supplement
U+1E1F, \xe1\xb8\x9f, LATIN SMALL LETTER F WITH DOT ABOVE
U+1E20, \xe1\xb8\xa0, LATIN CAPITAL LETTER G WITH MACRON
U+1E21, \xe1\xb8\xa1, LATIN SMALL LETTER G WITH MACRON
U+1E22, \xe1\xb8\xa2, LATIN CAPITAL LETTER H WITH DOT ABOVE
U+1E23, \xe1\xb8\xa3, LATIN SMALL LETTER H WITH DOT ABOVE
U+1E24, \xe1\xb8\xa4, LATIN CAPITAL LETTER H WITH DOT BELOW
U+1E25, \xe1\xb8\xa5, LATIN SMALL LETTER H WITH DOT BELOW
U+1E26, \xe1\xb8\xa6, LATIN CAPITAL LETTER H WITH DIAERESIS
U+1E27, \xe1\xb8\xa7, LATIN SMALL LETTER H WITH DIAERESIS
U+1E28, \xe1\xb8\xa8, LATIN CAPITAL LETTER H WITH CEDILLA
U+1E29, \xe1\xb8\xa9, LATIN SMALL LETTER H WITH CEDILLA
U+1E2A, \xe1\xb8\xaa, LATIN CAPITAL LETTER H WITH BREVE BELOW
U+1E2B, \xe1\xb8\xab, LATIN SMALL LETTER H WITH BREVE BELOW
U+1E2C, \xe1\xb8\xac, LATIN CAPITAL LETTER I WITH TILDE BELOW
U+1E2D, \xe1\xb8\xad, LATIN SMALL LETTER I WITH TILDE BELOW
U+1E2E, \xe1\xb8\xae, LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
U+1E2F, \xe1\xb8\xaf, LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
U+1E30, \xe1\xb8\xb0, LATIN CAPITAL LETTER K WITH ACUTE
U+1E31, \xe1\xb8\xb1, LATIN SMALL LETTER K WITH ACUTE
U+1E32, \xe1\xb8\xb2, LATIN CAPITAL LETTER K WITH DOT BELOW
U+1E33, \xe1\xb8\xb3, LATIN SMALL LETTER K WITH DOT BELOW
U+1E34, \xe1\xb8\xb4, LATIN CAPITAL LETTER K WITH LINE BELOW
U+1E35, \xe1\xb8\xb5, LATIN SMALL LETTER K WITH LINE BELOW
U+1E36, \xe1\xb8\xb6, LATIN CAPITAL LETTER L WITH DOT BELOW
U+1E37, \xe1\xb8\xb7, LATIN SMALL LETTER L WITH DOT BELOW
U+1E38, \xe1\xb8\xb8, LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
U+1E39, \xe1\xb8\xb9, LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
U+1E3A, \xe1\xb8\xba, LATIN CAPITAL LETTER L WITH LINE BELOW
U+1E3B, \xe1\xb8\xbb, LATIN SMALL LETTER L WITH LINE BELOW
U+1E3C, \xe1\xb8\xbc, LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
U+1E3D, \xe1\xb8\xbd, LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
U+1E3E, \xe1\xb8\xbe, LATIN CAPITAL LETTER M WITH ACUTE
U+1E3F, \xe1\xb8\xbf, LATIN SMALL LETTER M WITH ACUTE
U+1E40, \xe1\xb9\x80, LATIN CAPITAL LETTER M WITH DOT ABOVE
U+1E41, \xe1\xb9\x81, LATIN SMALL LETTER M WITH DOT ABOVE
U+1E42, \xe1\xb9\x82, LATIN CAPITAL LETTER M WITH DOT BELOW
U+1E43, \xe1\xb9\x83, LATIN SMALL LETTER M WITH DOT BELOW
U+1E44, \xe1\xb9\x84, LATIN CAPITAL LETTER N WITH DOT ABOVE
U+1E45, \xe1\xb9\x85, LATIN SMALL LETTER N WITH DOT ABOVE
U+1E46, \xe1\xb9\x86, LATIN CAPITAL LETTER N WITH DOT BELOW
U+1E47, \xe1\xb9\x87, LATIN SMALL LETTER N WITH DOT BELOW
U+1E48, \xe1\xb9\x88, LATIN CAPITAL LETTER N WITH LINE BELOW
U+1E49, \xe1\xb9\x89, LATIN SMALL LETTER N WITH LINE BELOW
U+1E4A, \xe1\xb9\x8a, LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
U+1E4B, \xe1\xb9\x8b, LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
U+1E4C, \xe1\xb9\x8c, LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
U+1E4D, \xe1\xb9\x8d, LATIN SMALL LETTER O WITH TILDE AND ACUTE
U+1E4E, \xe1\xb9\x8e, LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
U+1E4F, \xe1\xb9\x8f, LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
U+1E50, \xe1\xb9\x90, LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
U+1E51, \xe1\xb9\x91, LATIN SMALL LETTER O WITH MACRON AND GRAVE
U+1E52, \xe1\xb9\x92, LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
U+1E53, \xe1\xb9\x93, LATIN SMALL LETTER O WITH MACRON AND ACUTE
U+1E54, \xe1\xb9\x94, LATIN CAPITAL LETTER P WITH ACUTE
U+1E55, \xe1\xb9\x95, LATIN SMALL LETTER P WITH ACUTE
U+1E56, \xe1\xb9\x96, LATIN CAPITAL LETTER P WITH DOT ABOVE
U+1E57, \xe1\xb9\x97, LATIN SMALL LETTER P WITH DOT ABOVE
U+1E58, \xe1\xb9\x98, LATIN CAPITAL LETTER R WITH DOT ABOVE
U+1E59, \xe1\xb9\x99, LATIN SMALL LETTER R WITH DOT ABOVE
U+1E5A, \xe1\xb9\x9a, LATIN CAPITAL LETTER R WITH DOT BELOW
U+1E5B, \xe1\xb9\x9b, LATIN SMALL LETTER R WITH DOT BELOW
U+1E5C, \xe1\xb9\x9c, LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
U+1E5D, \xe1\xb9\x9d, LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
U+1E5E, \xe1\xb9\x9e, LATIN CAPITAL LETTER R WITH LINE BELOW
U+1E5F, \xe1\xb9\x9f, LATIN SMALL LETTER R WITH LINE BELOW
U+1E60, \xe1\xb9\xa0, LATIN CAPITAL LETTER S WITH DOT ABOVE
U+1E61, \xe1\xb9\xa1, LATIN SMALL LETTER S WITH DOT ABOVE
U+1E62, \xe1\xb9\xa2, LATIN CAPITAL LETTER S WITH DOT BELOW
U+1E63, \xe1\xb9\xa3, LATIN SMALL LETTER S WITH DOT BELOW
U+1E64, \xe1\xb9\xa4, LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
U+1E65, \xe1\xb9\xa5, LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
U+1E66, \xe1\xb9\xa6, LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
U+1E67, \xe1\xb9\xa7, LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
U+1E68, \xe1\xb9\xa8, LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
U+1E69, \xe1\xb9\xa9, LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
U+1E6A, \xe1\xb9\xaa, LATIN CAPITAL LETTER T WITH DOT ABOVE
U+1E6B, \xe1\xb9\xab, LATIN SMALL LETTER T WITH DOT ABOVE
U+1E6C, \xe1\xb9\xac, LATIN CAPITAL LETTER T WITH DOT BELOW
U+1E6D, \xe1\xb9\xad, LATIN SMALL LETTER T WITH DOT BELOW
U+1E6E, \xe1\xb9\xae, LATIN CAPITAL LETTER T WITH LINE BELOW
U+1E6F, \xe1\xb9\xaf, LATIN SMALL LETTER T WITH LINE BELOW
U+1E70, \xe1\xb9\xb0, LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
U+1E71, \xe1\xb9\xb1, LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
U+1E72, \xe1\xb9\xb2, LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
U+1E73, \xe1\xb9\xb3, LATIN SMALL LETTER U WITH DIAERESIS BELOW
U+1E74, \xe1\xb9\xb4, LATIN CAPITAL LETTER U WITH TILDE BELOW
U+1E75, \xe1\xb9\xb5, LATIN SMALL LETTER U WITH TILDE BELOW
U+1E76, \xe1\xb9\xb6, LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
U+1E77, \xe1\xb9\xb7, LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
U+1E78, \xe1\xb9\xb8, LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
U+1E79, \xe1\xb9\xb9, LATIN SMALL LETTER U WITH TILDE AND ACUTE
U+1E7A, \xe1\xb9\xba, LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
U+1E7B, \xe1\xb9\xbb, LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
U+1E7C, \xe1\xb9\xbc, LATIN CAPITAL LETTER V WITH TILDE
U+1E7D, \xe1\xb9\xbd, LATIN SMALL LETTER V WITH TILDE
U+1E7E, \xe1\xb9\xbe, LATIN CAPITAL LETTER V WITH DOT BELOW
U+1E7F, \xe1\xb9\xbf, LATIN SMALL LETTER V WITH DOT BELOW
U+1E80, \xe1\xba\x80, LATIN CAPITAL LETTER W WITH GRAVE
U+1E81, \xe1\xba\x81, LATIN SMALL LETTER W WITH GRAVE
U+1E82, \xe1\xba\x82, LATIN CAPITAL LETTER W WITH ACUTE
U+1E83, \xe1\xba\x83, LATIN SMALL LETTER W WITH ACUTE
U+1E84, \xe1\xba\x84, LATIN CAPITAL LETTER W WITH DIAERESIS
U+1E85, \xe1\xba\x85, LATIN SMALL LETTER W WITH DIAERESIS
U+1E86, \xe1\xba\x86, LATIN CAPITAL LETTER W WITH DOT ABOVE
U+1E87, \xe1\xba\x87, LATIN SMALL LETTER W WITH DOT ABOVE
U+1E88, \xe1\xba\x88, LATIN CAPITAL LETTER W WITH DOT BELOW
U+1E89, \xe1\xba\x89, LATIN SMALL LETTER W WITH DOT BELOW
U+1E8A, \xe1\xba\x8a, LATIN CAPITAL LETTER X WITH DOT ABOVE
U+1E8B, \xe1\xba\x8b, LATIN SMALL LETTER X WITH DOT ABOVE
U+1E8C, \xe1\xba\x8c, LATIN CAPITAL LETTER X WITH DIAERESIS
U+1E8D, \xe1\xba\x8d, LATIN SMALL LETTER X WITH DIAERESIS
U+1E8E, \xe1\xba\x8e, LATIN CAPITAL LETTER Y WITH DOT ABOVE
U+1E8F, \xe1\xba\x8f, LATIN SMALL LETTER Y WITH DOT ABOVE
U+1E90, \xe1\xba\x90, LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
U+1E91, \xe1\xba\x91, LATIN SMALL LETTER Z WITH CIRCUMFLEX
U+1E92, \xe1\xba\x92, LATIN CAPITAL LETTER Z WITH DOT BELOW
U+1E93, \xe1\xba\x93, LATIN SMALL LETTER Z WITH DOT BELOW
U+1E94, \xe1\xba\x94, LATIN CAPITAL LETTER Z WITH LINE BELOW
U+1E95, \xe1\xba\x95, LATIN SMALL LETTER Z WITH LINE BELOW
U+1E96, \xe1\xba\x96, LATIN SMALL LETTER H WITH LINE BELOW
U+1E97, \xe1\xba\x97, LATIN SMALL LETTER T WITH DIAERESIS
U+1E98, \xe1\xba\x98, LATIN SMALL LETTER W WITH RING ABOVE
U+1E99, \xe1\xba\x99, LATIN SMALL LETTER Y WITH RING ABOVE
U+1E9A, \xe1\xba\x9a, LATIN SMALL LETTER A WITH RIGHT HALF RING
U+1E9B, \xe1\xba\x9b, LATIN SMALL LETTER LONG S WITH DOT ABOVE
U+1E9C, \xe1\xba\x9c, LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE
U+1E9D, \xe1\xba\x9d, LATIN SMALL LETTER LONG S WITH HIGH STROKE
U+1E9E, \xe1\xba\x9e, LATIN CAPITAL LETTER SHARP S
U+1E9F, \xe1\xba\x9f, LATIN SMALL LETTER DELTA
U+1EA0, \xe1\xba\xa0, LATIN CAPITAL LETTER A WITH DOT BELOW
U+1EA1, \xe1\xba\xa1, LATIN SMALL LETTER A WITH DOT BELOW
U+1EA2, \xe1\xba\xa2, LATIN CAPITAL LETTER A WITH HOOK ABOVE
U+1EA3, \xe1\xba\xa3, LATIN SMALL LETTER A WITH HOOK ABOVE
U+1EA4, \xe1\xba\xa4, LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
U+1EA5, \xe1\xba\xa5, LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
U+1EA6, \xe1\xba\xa6, LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
U+1EA7, \xe1\xba\xa7, LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
U+1EA8, \xe1\xba\xa8, LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
U+1EA9, \xe1\xba\xa9, LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
U+1EAA, \xe1\xba\xaa, LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
U+1EAB, \xe1\xba\xab, LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
U+1EAC, \xe1\xba\xac, LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
U+1EAD, \xe1\xba\xad, LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
U+1EAE, \xe1\xba\xae, LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
U+1EAF, \xe1\xba\xaf, LATIN SMALL LETTER A WITH BREVE AND ACUTE
