# Cyrillic Extended-B
U+A706, \xea\x9c\x86, MODIFIER LETTER CHINESE TONE YIN RU
U+A707, \xea\x9c\x87, MODIFIER LETTER CHINESE TONE YANG RU
U+A708, \xea\x9c\x88, MODIFIER LETTER EXTRA-HIGH DOTTED TONE BAR
U+A709, \xea\x9c\x89, MODIFIER LETTER HIGH DOTTED TONE BAR
U+A70A, \xea\x9c\x8a, MODIFIER LETTER MID DOTTED TONE BAR
U+A70B, \xea\x9c\x8b, MODIFIER LETTER LOW DOTTED TONE BAR
U+A70C, \xea\x9c\x8c, MODIFIER LETTER EXTRA-LOW DOTTED TONE BAR
U+A70D, \xea\x9c\x8d, MODIFIER LETTER EXTRA-HIGH DOTTED LEFT-STEM TONE BAR
U+A70E, \xea\x9c\x8e, MODIFIER LETTER HIGH DOTTED LEFT-STEM TONE BAR
U+A70F, \xea\x9c\x8f, MODIFIER LETTER MID DOTTED LEFT-STEM TONE BAR
U+A710, \xea\x9c\x90, MODIFIER LETTER LOW DOTTED LEFT-STEM TONE BAR
U+A711, \xea\x9c\x91, MODIFIER LETTER EXTRA-LOW DOTTED LEFT-STEM TONE BAR
U+A712, \xea\x9c\x92, MODIFIER LETTER EXTRA-HIGH LEFT-STEM TONE BAR
U+A713, \xea\x9c\x93, MODIFIER LETTER HIGH LEFT-STEM TONE BAR
U+A714, \xea\x9c\x94, MODIFIER LETTER MID LEFT-STEM TONE BAR
U+A715, \xea\x9c\x95, MODIFIER LETTER LOW LEFT-STEM TONE BAR
U+A716, \xea\x9c\x96, MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR
U+A717, \xea\x9c\x97, MODIFIER LETTER DOT VERTICAL BAR
U+A718, \xea\x9c\x98, MODIFIER LETTER DOT SLASH
U+A719, \xea\x9c\x99, MODIFIER LETTER DOT HORIZONTAL BAR
U+A71A, \xea\x9c\x9a, MODIFIER LETTER LOWER RIGHT CORNER ANGLE
U+A71B, \xea\x9c\x9b, MODIFIER LETTER RAISED UP ARROW
U+A71C, \xea\x9c\x9c, MODIFIER LETTER RAISED DOWN ARROW
U+A71D, \xea\x9c\x9d, MODIFIER LETTER RAISED EXCLAMATION MARK
U+A71E, \xea\x9c\x9e, MODIFIER LETTER RAISED INVERTED EXCLAMATION MARK
U+A71F, \xea\x9c\x9f, MODIFIER LETTER LOW INVERTED EXCLAMATION MARK
U+A720, \xea\x9c\xa0, MODIFIER LETTER STRESS AND HIGH TONE
U+A721, \xea\x9c\xa1, MODIFIER LETTER STRESS AND LOW TONE
U+A722, \xea\x9c\xa2, LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF
U+A723, \xea\x9c\xa3, LATIN SMALL LETTER EGYPTOLOGICAL ALEF
U+A724, \xea\x9c\xa4, LATIN CAPITAL LETTER EGYPTOLOGICAL AIN
U+A725, \xea\x9c\xa5, LATIN SMALL LETTER EGYPTOLOGICAL AIN
U+A726, \xea\x9c\xa6, LATIN CAPITAL LETTER HENG
U+A727, \xea\x9c\xa7, LATIN SMALL LETTER HENG
U+A728, \xea\x9c\xa8, LATIN CAPITAL LETTER TZ
U+A729, \xea\x9c\xa9, LATIN SMALL LETTER TZ
