# Myanmar
U+1060, \xe1\x81\xa0, MYANMAR CONSONANT SIGN MON MEDIAL LA
U+1061, \xe1\x81\xa1, MYANMAR LETTER SGAW KAREN SHA
U+1062, \xe1\x81\xa2, MYANMAR VOWEL SIGN SGAW KAREN EU
U+1063, \xe1\x81\xa3, MYANMAR TONE MARK SGAW KAREN HATHI
U+1064, \xe1\x81\xa4, MYANMAR TONE MARK SGAW KAREN KE PHO
U+1065, \xe1\x81\xa5, MYANMAR LETTER WESTERN PWO KAREN THA
U+1066, \xe1\x81\xa6, MYANMAR LETTER WESTERN PWO KAREN PWA
U+1067, \xe1\x81\xa7, MYANMAR VOWEL SIGN WESTERN PWO KAREN EU
U+1068, \xe1\x81\xa8, MYANMAR VOWEL SIGN WESTERN PWO KAREN UE
U+1069, \xe1\x81\xa9, MYANMAR SIGN WESTERN PWO KAREN TONE-1
U+106A, \xe1\x81\xaa, MYANMAR SIGN WESTERN PWO KAREN TONE-2
U+106B, \xe1\x81\xab, MYANMAR SIGN WESTERN PWO KAREN TONE-3
U+106C, \xe1\x81\xac, MYANMAR SIGN WESTERN PWO KAREN TONE-4
U+106D, \xe1\x81\xad, MYANMAR SIGN WESTERN PWO KAREN TONE-5
U+106E, \xe1\x81\xae, MYANMAR LETTER EASTERN PWO KAREN NNA
U+106F, \xe1\x81\xaf, MYANMAR LETTER EASTERN PWO KAREN YWA
U+1070, \xe1\x81\xb0, MYANMAR LETTER EASTERN PWO KAREN GHWA
U+1071, \xe1\x81\xb1, MYANMAR VOWEL SIGN GEBA KAREN I
U+1072, \xe1\x81\xb2, MYANMAR VOWEL SIGN KAYAH OE
U+1073, \xe1\x81\xb3, MYANMAR VOWEL SIGN KAYAH U
U+1074, \xe1\x81\xb4, MYANMAR VOWEL SIGN KAYAH EE
U+1075, \xe1\x81\xb5, MYANMAR LETTER SHAN KA
U+1076, \xe1\x81\xb6, MYANMAR LETTER SHAN KHA
U+1077, \xe1\x81\xb7, MYANMAR LETTER SHAN GA
U+1078, \xe1\x81\xb8, MYANMAR LETTER SHAN CA
U+1079, \xe1\x81\xb9, MYANMAR LETTER SHAN ZA
U+107A, \xe1\x81\xba, MYANMAR LETTER SHAN NYA
U+107B, \xe1\x81\xbb, MYANMAR LETTER SHAN DA
U+107C, \xe1\x81\xbc, MYANMAR LETTER SHAN NA
U+107D, \xe1\x81\xbd, MYANMAR LETTER SHAN PHA
U+107E, \xe1\x81\xbe, MYANMAR LETTER SHAN FA
U+107F, \xe1\x81\xbf, MYANMAR LETTER SHAN BA
U+1080, \xe1\x82\x80, MYANMAR LETTER SHAN THA
U+1081, \xe1\x82\x81, MYANMAR LETTER SHAN HA
U+1082, \xe1\x82\x82, MYANMAR CONSONANT SIGN SHAN MEDIAL WA
U+1083, \xe1\x82\x83, MYANMAR VOWEL SIGN SHAN AA
U+1084, \xe1\x82\x84, MYANMAR VOWEL SIGN SHAN E
U+1085, \xe1\x82\x85, MYANMAR VOWEL SIGN SHAN E ABOVE
U+1086, \xe1\x82\x86, MYANMAR VOWEL SIGN SHAN FINAL Y
U+1087, \xe1\x82\x87, MYANMAR SIGN SHAN TONE-2
U+1088, \xe1\x82\x88, MYANMAR SIGN SHAN TONE-3
U+1089, \xe1\x82\x89, MYANMAR SIGN SHAN TONE-5
U+108A, \xe1\x82\x8a, MYANMAR SIGN SHAN TONE-6
