# Control Pictures
U+24BD, \xe2\x92\xbd, CIRCLED LATIN CAPITAL LETTER H
U+24BE, \xe2\x92\xbe, CIRCLED LATIN CAPITAL LETTER I
U+24BF, \xe2\x92\xbf, CIRCLED LATIN CAPITAL LETTER J
U+24C0, \xe2\x93\x80, CIRCLED LATIN CAPITAL LETTER K
U+24C1, \xe2\x93\x81, CIRCLED LATIN CAPITAL LETTER L
U+24C2, \xe2\x93\x82, CIRCLED LATIN CAPITAL LETTER M
U+24C3, \xe2\x93\x83, CIRCLED LATIN CAPITAL LETTER N
U+24C4, \xe2\x93\x84, CIRCLED LATIN CAPITAL LETTER O
U+24C5, \xe2\x93\x85, CIRCLED LATIN CAPITAL LETTER P
U+24C6, \xe2\x93\x86, CIRCLED LATIN CAPITAL LETTER Q
U+24C7, \xe2\x93\x87, CIRCLED LATIN CAPITAL LETTER R
U+24C8, \xe2\x93\x88, CIRCLED LATIN CAPITAL LETTER S
U+24C9, \xe2\x93\x89, CIRCLED LATIN CAPITAL LETTER T
U+24CA, \xe2\x93\x8a, CIRCLED LATIN CAPITAL LETTER U
U+24CB, \xe2\x93\x8b, CIRCLED LATIN CAPITAL LETTER V
U+24CC, \xe2\x93\x8c, CIRCLED LATIN CAPITAL LETTER W
U+24CD, \xe2\x93\x8d, CIRCLED LATIN CAPITAL LETTER X
U+24CE, \xe2\x93\x8e, CIRCLED LATIN CAPITAL LETTER Y
U+24CF, \xe2\x93\x8f, CIRCLED LATIN CAPITAL LETTER Z
U+24D0, \xe2\x93\x90, CIRCLED LATIN SMALL LETTER A
U+24D1, \xe2\x93\x91, CIRCLED LATIN SMALL LETTER B
U+24D2, \xe2\x93\x92, CIRCLED LATIN SMALL LETTER C
U+24D3, \xe2\x93\x93, CIRCLED LATIN SMALL LETTER D
U+24D4, \xe2\x93\x94, CIRCLED LATIN SMALL LETTER E
U+24D5, \xe2\x93\x95, CIRCLED LATIN SMALL LETTER F
U+24D6, \xe2\x93\x96, CIRCLED LATIN SMALL LETTER G
U+24D7, \xe2\x93\x97, CIRCLED LATIN SMALL LETTER H
U+24D8, \xe2\x93\x98, CIRCLED LATIN SMALL LETTER I
U+24D9, \xe2\x93\x99, CIRCLED LATIN SMALL LETTER J
U+24DA, \xe2\x93\x9a, CIRCLED LATIN SMALL LETTER K
U+24DB, \xe2\x93\x9b, CIRCLED LATIN SMALL LETTER L
U+24DC, \xe2\x93\x9c, CIRCLED LATIN SMALL LETTER M
U+24DD, \xe2\x93\x9d, CIRCLED LATIN SMALL LETTER N
U+24DE, \xe2\x93\x9e, CIRCLED LATIN SMALL LETTER O
U+24DF, \xe2\x93\x9f, CIRCLED LATIN SMALL LETTER P
U+24E0, \xe2\x93\xa0, CIRCLED LATIN SMALL LETTER Q
U+24E1, \xe2\x93\xa1, CIRCLED LATIN SMALL LETTER R
U+24E2, \xe2\x93\xa2, CIRCLED LATIN SMALL LETTER S
U+24E3, \xe2\x93\xa3, CIRCLED LATIN SMALL LETTER T
U+24E4, \xe2\x93\xa4, CIRCLED LATIN SMALL LETTER U
U+24E5, \xe2\x93\xa5, CIRCLED LATIN SMALL LETTER V
U+24E6, \xe2\x93\xa6, CIRCLED LATIN SMALL LETTER W
U+24E7, \xe2\x93\xa7, CIRCLED LATIN SMALL LETTER X
U+24E8, \xe2\x93\xa8, CIRCLED LATIN SMALL LETTER Y
U+24E9, \xe2\x93\xa9, CIRCLED LATIN SMALL LETTER Z
U+24EA, \xe2\x93\xaa, CIRCLED DIGIT ZERO
U+24EB, \xe2\x93\xab, NEGATIVE CIRCLED NUMBER ELEVEN
U+24EC, \xe2\x93\xac, NEGATIVE CIRCLED NUMBER TWELVE
U+24ED, \xe2\x93\xad, NEGATIVE CIRCLED NUMBER THIRTEEN
U+24EE, \xe2\x93\xae, NEGATIVE CIRCLED NUMBER FOURTEEN
U+24EF, \xe2\x93\xaf, NEGATIVE CIRCLED NUMBER FIFTEEN
U+24F0, \xe2\x93\xb0, NEGATIVE CIRCLED NUMBER SIXTEEN
U+24F1, \xe2\x93\xb1, NEGATIVE CIRCLED NUMBER SEVENTEEN
U+24F2, \xe2\x93\xb2, NEGATIVE CIRCLED NUMBER EIGHTEEN
U+24F3, \xe2\x93\xb3, NEGATIVE CIRCLED NUMBER NINETEEN
U+24F4, \xe2\x93\xb4, NEGATIVE CIRCLED NUMBER TWENTY
U+24F5, \xe2\x93\xb5, DOUBLE CIRCLED DIGIT ONE
U+24F6, \xe2\x93\xb6, DOUBLE CIRCLED DIGIT TWO
U+24F7, \xe2\x93\xb7, DOUBLE CIRCLED DIGIT THREE
U+24F8, \xe2\x93\xb8, DOUBLE CIRCLED DIGIT FOUR
U+24F9, \xe2\x93\xb9, DOUBLE CIRCLED DIGIT FIVE
U+24FA, \xe2\x93\xba, DOUBLE CIRCLED DIGIT SIX
U+24FB, \xe2\x93\xbb, DOUBLE CIRCLED DIGIT SEVEN
U+24FC, \xe2\x93\xbc, DOUBLE CIRCLED DIGIT EIGHT
U+24FD, \xe2\x93\xbd, DOUBLE CIRCLED DIGIT NINE
U+24FE, \xe2\x93\xbe, DOUBLE CIRCLED NUMBER TEN
U+24FF, \xe2\x93\xbf, NEGATIVE CIRCLED DIGIT ZERO
