# Inscriptional Pahlavi
U+10C2C, \xf0\x90\xb0\xac, OLD TURKIC LETTER YENISEI ANG
U+10C2D, \xf0\x90\xb0\xad, OLD TURKIC LETTER ORKHON ENG
U+10C2E, \xf0\x90\xb0\xae, OLD TURKIC LETTER YENISEI AENG
U+10C2F, \xf0\x90\xb0\xaf, OLD TURKIC LETTER ORKHON EP
U+10C30, \xf0\x90\xb0\xb0, OLD TURKIC LETTER ORKHON OP
U+10C31, \xf0\x90\xb0\xb1, OLD TURKIC LETTER ORKHON IC
U+10C32, \xf0\x90\xb0\xb2, OLD TURKIC LETTER ORKHON EC
U+10C33, \xf0\x90\xb0\xb3, OLD TURKIC LETTER YENISEI EC
U+10C34, \xf0\x90\xb0\xb4, OLD TURKIC LETTER ORKHON AQ
U+10C35, \xf0\x90\xb0\xb5, OLD TURKIC LETTER YENISEI AQ
U+10C36, \xf0\x90\xb0\xb6, OLD TURKIC LETTER ORKHON IQ
U+10C37, \xf0\x90\xb0\xb7, OLD TURKIC LETTER YENISEI IQ
U+10C38, \xf0\x90\xb0\xb8, OLD TURKIC LETTER ORKHON OQ
U+10C39, \xf0\x90\xb0\xb9, OLD TURKIC LETTER YENISEI OQ
U+10C3A, \xf0\x90\xb0\xba, OLD TURKIC LETTER ORKHON AR
U+10C3B, \xf0\x90\xb0\xbb, OLD TURKIC LETTER YENISEI AR
U+10C3C, \xf0\x90\xb0\xbc, OLD TURKIC LETTER ORKHON AER
U+10C3D, \xf0\x90\xb0\xbd, OLD TURKIC LETTER ORKHON AS
U+10C3E, \xf0\x90\xb0\xbe, OLD TURKIC LETTER ORKHON AES
U+10C3F, \xf0\x90\xb0\xbf, OLD TURKIC LETTER ORKHON ASH
U+10C40, \xf0\x90\xb1\x80, OLD TURKIC LETTER YENISEI ASH
U+10C41, \xf0\x90\xb1\x81, OLD TURKIC LETTER ORKHON ESH
U+10C42, \xf0\x90\xb1\x82, OLD TURKIC LETTER YENISEI ESH
U+10C43, \xf0\x90\xb1\x83, OLD TURKIC LETTER ORKHON AT
U+10C44, \xf0\x90\xb1\x84, OLD TURKIC LETTER YENISEI AT
U+10C45, \xf0\x90\xb1\x85, OLD TURKIC LETTER ORKHON AET
U+10C46, \xf0\x90\xb1\x86, OLD TURKIC LETTER YENISEI AET
U+10C47, \xf0\x90\xb1\x87, OLD TURKIC LETTER ORKHON OT
U+10C48, \xf0\x90\xb1\x88, OLD TURKIC LETTER ORKHON BASH
