# Enclosed Alphanumeric Supplement
U+1F1EF, \xf0\x9f\x87\xaf, REGIONAL INDICATOR SYMBOL LETTER J
U+1F1F0, \xf0\x9f\x87\xb0, REGIONAL INDICATOR SYMBOL LETTER K
U+1F1F1, \xf0\x9f\x87\xb1, REGIONAL INDICATOR SYMBOL LETTER L
U+1F1F2, \xf0\x9f\x87\xb2, REGIONAL INDICATOR SYMBOL LETTER M
U+1F1F3, \xf0\x9f\x87\xb3, REGIONAL INDICATOR SYMBOL LETTER N
U+1F1F4, \xf0\x9f\x87\xb4, REGIONAL INDICATOR SYMBOL LETTER O
U+1F1F5, \xf0\x9f\x87\xb5, REGIONAL INDICATOR SYMBOL LETTER P
U+1F1F6, \xf0\x9f\x87\xb6, REGIONAL INDICATOR SYMBOL LETTER Q
U+1F1F7, \xf0\x9f\x87\xb7, REGIONAL INDICATOR SYMBOL LETTER R
U+1F1F8, \xf0\x9f\x87\xb8, REGIONAL INDICATOR SYMBOL LETTER S
U+1F1F9, \xf0\x9f\x87\xb9, REGIONAL INDICATOR SYMBOL LETTER T
U+1F1FA, \xf0\x9f\x87\xba, REGIONAL INDICATOR SYMBOL LETTER U
U+1F1FB, \xf0\x9f\x87\xbb, REGIONAL INDICATOR SYMBOL LETTER V
U+1F1FC, \xf0\x9f\x87\xbc, REGIONAL INDICATOR SYMBOL LETTER W
U+1F1FD, \xf0\x9f\x87\xbd, REGIONAL INDICATOR SYMBOL LETTER X
U+1F1FE, \xf0\x9f\x87\xbe, REGIONAL INDICATOR SYMBOL LETTER Y
U+1F1FF, \xf0\x9f\x87\xbf, REGIONAL INDICATOR SYMBOL LETTER Z
