# Alchemical Symbols
U+1F73E, \xf0\x9f\x9c\xbe, ALCHEMICAL SYMBOL FOR BISMUTH ORE
U+1F73F, \xf0\x9f\x9c\xbf, ALCHEMICAL SYMBOL FOR TARTAR
U+1F740, \xf0\x9f\x9d\x80, ALCHEMICAL SYMBOL FOR TARTAR-2
U+1F741, \xf0\x9f\x9d\x81, ALCHEMICAL SYMBOL FOR QUICK LIME
U+1F742, \xf0\x9f\x9d\x82, ALCHEMICAL SYMBOL FOR BORAX
U+1F743, \xf0\x9f\x9d\x83, ALCHEMICAL SYMBOL FOR BORAX-2
U+1F744, \xf0\x9f\x9d\x84, ALCHEMICAL SYMBOL FOR BORAX-3
U+1F745, \xf0\x9f\x9d\x85, ALCHEMICAL SYMBOL FOR ALUM
U+1F746, \xf0\x9f\x9d\x86, ALCHEMICAL SYMBOL FOR OIL
U+1F747, \xf0\x9f\x9d\x87, ALCHEMICAL SYMBOL FOR SPIRIT
U+1F748, \xf0\x9f\x9d\x88, ALCHEMICAL SYMBOL FOR TINCTURE
U+1F749, \xf0\x9f\x9d\x89, ALCHEMICAL SYMBOL FOR GUM
U+1F74A, \xf0\x9f\x9d\x8a, ALCHEMICAL SYMBOL FOR WAX
U+1F74B, \xf0\x9f\x9d\x8b, ALCHEMICAL SYMBOL FOR POWDER
U+1F74C, \xf0\x9f\x9d\x8c, ALCHEMICAL SYMBOL FOR CALX
U+1F74D, \xf0\x9f\x9d\x8d, ALCHEMICAL SYMBOL FOR TUTTY
U+1F74E, \xf0\x9f\x9d\x8e, ALCHEMICAL SYMBOL FOR CAPUT MORTUUM
U+1F74F, \xf0\x9f\x9d\x8f, ALCHEMICAL SYMBOL FOR SCEPTER OF JOVE
U+1F750, \xf0\x9f\x9d\x90, ALCHEMICAL SYMBOL FOR CADUCEUS
U+1F751, \xf0\x9f\x9d\x91, ALCHEMICAL SYMBOL FOR TRIDENT
U+1F752, \xf0\x9f\x9d\x92, ALCHEMICAL SYMBOL FOR STARRED TRIDENT
U+1F753, \xf0\x9f\x9d\x93, ALCHEMICAL SYMBOL FOR LODESTONE
U+1F754, \xf0\x9f\x9d\x94, ALCHEMICAL SYMBOL FOR SOAP
U+1F755, \xf0\x9f\x9d\x95, ALCHEMICAL SYMBOL FOR URINE
U+1F756, \xf0\x9f\x9d\x96, ALCHEMICAL SYMBOL FOR HORSE DUNG
U+1F757, \xf0\x9f\x9d\x97, ALCHEMICAL SYMBOL FOR ASHES
U+1F758, \xf0\x9f\x9d\x98, ALCHEMICAL SYMBOL FOR POT ASHES
U+1F759, \xf0\x9f\x9d\x99, ALCHEMICAL SYMBOL FOR BRICK
U+1F75A, \xf0\x9f\x9d\x9a, ALCHEMICAL SYMBOL FOR POWDERED BRICK
U+1F75B, \xf0\x9f\x9d\x9b, ALCHEMICAL SYMBOL FOR AMALGAM
U+1F75C, \xf0\x9f\x9d\x9c, ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM
U+1F75D, \xf0\x9f\x9d\x9d, ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM-2
U+1F75E, \xf0\x9f\x9d\x9e, ALCHEMICAL SYMBOL FOR SUBLIMATION
U+1F75F, \xf0\x9f\x9d\x9f, ALCHEMICAL SYMBOL FOR PRECIPITATE
U+1F760, \xf0\x9f\x9d\xa0, ALCHEMICAL SYMBOL FOR DISTILL
U+1F761, \xf0\x9f\x9d\xa1, ALCHEMICAL SYMBOL FOR DISSOLVE
U+1F762, \xf0\x9f\x9d\xa2, ALCHEMICAL SYMBOL FOR DISSOLVE-2
U+1F763, \xf0\x9f\x9d\xa3, ALCHEMICAL SYMBOL FOR PURIFY
U+1F764, \xf0\x9f\x9d\xa4, ALCHEMICAL SYMBOL FOR PUTREFACTION
U+1F765, \xf0\x9f\x9d\xa5, ALCHEMICAL SYMBOL FOR CRUCIBLE
U+1F766, \xf0\x9f\x9d\xa6, ALCHEMICAL SYMBOL FOR CRUCIBLE-2
U+1F767, \xf0\x9f\x9d\xa7, ALCHEMICAL SYMBOL FOR CRUCIBLE-3
U+1F768, \xf0\x9f\x9d\xa8, ALCHEMICAL SYMBOL FOR CRUCIBLE-4
U+1F769, \xf0\x9f\x9d\xa9, ALCHEMICAL SYMBOL FOR CRUCIBLE-5
