# Enclosed Alphanumerics
U+24B7, \xe2\x92\xb7, CIRCLED LATIN CAPITAL LETTER B
U+24B8, \xe2\x92\xb8, CIRCLED LATIN CAPITAL LETTER C
U+24B9, \xe2\x92\xb9, CIRCLED LATIN CAPITAL LETTER D
U+24BA, \xe2\x92\xba, CIRCLED LATIN CAPITAL LETTER E
U+24BB, \xe2\x92\xbb, CIRCLED LATIN CAPITAL LETTER F
U+24BC, \xe2\x92\xbc, CIRCLED LATIN CAPITAL LETTER G
U+24BD, \xe2\x92\xbd, CIRCLED LATIN CAPITAL LETTER H
U+24BE, \xe2\x92\xbe, CIRCLED LATIN CAPITAL LETTER I
U+24BF, \xe2\x92\xbf, CIRCLED LATIN CAPITAL LETTER J
U+24C0, \xe2\x93\x80, CIRCLED LATIN CAPITAL LETTER K
U+24C1, \xe2\x93\x81, CIRCLED LATIN CAPITAL LETTER L
U+24C2, \xe2\x93\x82, CIRCLED LATIN CAPITAL LETTER M
U+24C3, \xe2\x93\x83, CIRCLED LATIN CAPITAL LETTER N
U+24C4, \xe2\x93\x84, CIRCLED LATIN CAPITAL LETTER O
U+24C5, \xe2\x93\x85, CIRCLED LATIN CAPITAL LETTER P
U+24C6, \xe2\x93\x86, CIRCLED LATIN CAPITAL LETTER Q
U+24C7, \xe2\x93\x87, CIRCLED LATIN CAPITAL LETTER R
U+24C8, \xe2\x93\x88, CIRCLED LATIN CAPITAL LETTER S
U+24C9, \xe2\x93\x89, CIRCLED LATIN CAPITAL LETTER T
U+24CA, \xe2\x93\x8a, CIRCLED LATIN CAPITAL LETTER U
U+24CB, \xe2\x93\x8b, CIRCLED LATIN CAPITAL LETTER V
U+24CC, \xe2\x93\x8c, CIRCLED LATIN CAPITAL LETTER W
U+24CD, \xe2\x93\x8d, CIRCLED LATIN CAPITAL LETTER X
U+24CE, \xe2\x93\x8e, CIRCLED LATIN CAPITAL LETTER Y
U+24CF, \xe2\x93\x8f, CIRCLED LATIN CAPITAL LETTER Z
U+24D0, \xe2\x93\x90, CIRCLED LATIN SMALL LETTER A
U+24D1, \xe2\x93\x91, CIRCLED LATIN SMALL LETTER B
U+24D2, \xe2\x93\x92, CIRCLED LATIN SMALL LETTER C
U+24D3, \xe2\x93\x93, CIRCLED LATIN SMALL LETTER D
U+24D4, \xe2\x93\x94, CIRCLED LATIN SMALL LETTER E
U+24D5, \xe2\x93\x95, CIRCLED LATIN SMALL LETTER F
U+24D6, \xe2\x93\x96, CIRCLED LATIN SMALL LETTER G
U+24D7, \xe2\x93\x97, CIRCLED LATIN SMALL LETTER H
U+24D8, \xe2\x93\x98, CIRCLED LATIN SMALL LETTER I
U+24D9, \xe2\x93\x99, CIRCLED LATIN SMALL LETTER J
U+24DA, \xe2\x93\x9a, CIRCLED LATIN SMALL LETTER K
U+24DB, \xe2\x93\x9b, CIRCLED LATIN SMALL LETTER L
U+24DC, \xe2\x93\x9c, CIRCLED LATIN SMALL LETTER M
U+24DD, \xe2\x93\x9d, CIRCLED LATIN SMALL LETTER N
U+24DE, \xe2\x93\x9e, CIRCLED LATIN SMALL LETTER O
U+24DF, \xe2\x93\x9f, CIRCLED LATIN SMALL LETTER P
U+24E0, \xe2\x93\xa0, CIRCLED LATIN SMALL LETTER Q
U+24E1, \xe2\x93\xa1, CIRCLED LATIN SMALL LETTER R
U+24E2, \xe2\x93\xa2, CIRCLED LATIN SMALL LETTER S
U+24E3, \xe2\x93\xa3, CIRCLED LATIN SMALL LETTER T
U+24E4, \xe2\x93\xa4, CIRCLED LATIN SMALL LETTER U
U+24E5, \xe2\x93\xa5, CIRCLED LATIN SMALL LETTER V
U+24E6, \xe2\x93\xa6, CIRCLED LATIN SMALL LETTER W
U+24E7, \xe2\x93\xa7, CIRCLED LATIN SMALL LETTER X
U+24E8, \xe2\x93\xa8, CIRCLED LATIN SMALL LETTER Y
