# Malayalam
U+0DD8, \xe0\xb7\x98, SINHALA VOWEL SIGN GAETTA-PILLA
U+0DD9, \xe0\xb7\x99, SINHALA VOWEL SIGN KOMBUVA
U+0DDA, \xe0\xb7\x9a, SINHALA VOWEL SIGN DIGA KOMBUVA
U+0DDB, \xe0\xb7\x9b, SINHALA VOWEL SIGN KOMBU DEKA
U+0DDC, \xe0\xb7\x9c, SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
U+0DDD, \xe0\xb7\x9d, SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA
U+0DDE, \xe0\xb7\x9e, SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
U+0DDF, \xe0\xb7\x9f, SINHALA VOWEL SIGN GAYANUKITTA
U+0DF2, \xe0\xb7\xb2, SINHALA VOWEL SIGN DIGA GAETTA-PILLA
U+0DF3, \xe0\xb7\xb3, SINHALA VOWEL SIGN DIGA GAYANUKITTA
U+0DF4, \xe0\xb7\xb4, SINHALA PUNCTUATION KUNDDALIYA
