# Number Forms
U+2223, \xe2\x88\xa3, DIVIDES
U+2224, \xe2\x88\xa4, DOES NOT DIVIDE
U+2225, \xe2\x88\xa5, PARALLEL TO
U+2226, \xe2\x88\xa6, NOT PARALLEL TO
U+2227, \xe2\x88\xa7, LOGICAL AND
U+2228, \xe2\x88\xa8, LOGICAL OR
U+2229, \xe2\x88\xa9, INTERSECTION
U+222A, \xe2\x88\xaa, UNION
U+222B, \xe2\x88\xab, INTEGRAL
U+222C, \xe2\x88\xac, DOUBLE INTEGRAL
U+222D, \xe2\x88\xad, TRIPLE INTEGRAL
U+222E, \xe2\x88\xae, CONTOUR INTEGRAL
U+222F, \xe2\x88\xaf, SURFACE INTEGRAL
U+2230, \xe2\x88\xb0, VOLUME INTEGRAL
U+2231, \xe2\x88\xb1, CLOCKWISE INTEGRAL
U+2232, \xe2\x88\xb2, CLOCKWISE CONTOUR INTEGRAL
U+2233, \xe2\x88\xb3, ANTICLOCKWISE CONTOUR INTEGRAL
U+2234, \xe2\x88\xb4, THEREFORE
U+2235, \xe2\x88\xb5, BECAUSE
U+2236, \xe2\x88\xb6, RATIO
U+2237, \xe2\x88\xb7, PROPORTION
U+2238, \xe2\x88\xb8, DOT MINUS
U+2239, \xe2\x88\xb9, EXCESS
U+223A, \xe2\x88\xba, GEOMETRIC PROPORTION
U+223B, \xe2\x88\xbb, HOMOTHETIC
U+223C, \xe2\x88\xbc, TILDE OPERATOR
U+223D, \xe2\x88\xbd, REVERSED TILDE
U+223E, \xe2\x88\xbe, INVERTED LAZY S
U+223F, \xe2\x88\xbf, SINE WAVE
U+2240, \xe2\x89\x80, WREATH PRODUCT
U+2241, \xe2\x89\x81, NOT TILDE
U+2242, \xe2\x89\x82, MINUS TILDE
U+2243, \xe2\x89\x83, ASYMPTOTICALLY EQUAL TO
U+2244, \xe2\x89\x84, NOT ASYMPTOTICALLY EQUAL TO
U+2245, \xe2\x89\x85, APPROXIMATELY EQUAL TO
U+2246, \xe2\x89\x86, APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
U+2247, \xe2\x89\x87, NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
U+2248, \xe2\x89\x88, ALMOST EQUAL TO
U+2249, \xe2\x89\x89, NOT ALMOST EQUAL TO
U+224A, \xe2\x89\x8a, ALMOST EQUAL OR EQUAL TO
U+224B, \xe2\x89\x8b, TRIPLE TILDE
U+224C, \xe2\x89\x8c, ALL EQUAL TO
U+224D, \xe2\x89\x8d, EQUIVALENT TO
U+224E, \xe2\x89\x8e, GEOMETRICALLY EQUIVALENT TO
U+224F, \xe2\x89\x8f, DIFFERENCE BETWEEN
