# Variation Selectors Supplement
U+E0159, \xf3\xa0\x85\x99, VARIATION SELECTOR-106
U+E015A, \xf3\xa0\x85\x9a, VARIATION SELECTOR-107
U+E015B, \xf3\xa0\x85\x9b, VARIATION SELECTOR-108
U+E015C, \xf3\xa0\x85\x9c, VARIATION SELECTOR-109
U+E015D, \xf3\xa0\x85\x9d, VARIATION SELECTOR-110
U+E015E, \xf3\xa0\x85\x9e, VARIATION SELECTOR-111
U+E015F, \xf3\xa0\x85\x9f, VARIATION SELECTOR-112
U+E0160, \xf3\xa0\x85\xa0, VARIATION SELECTOR-113
U+E0161, \xf3\xa0\x85\xa1, VARIATION SELECTOR-114
U+E0162, \xf3\xa0\x85\xa2, VARIATION SELECTOR-115
U+E0163, \xf3\xa0\x85\xa3, VARIATION SELECTOR-116
U+E0164, \xf3\xa0\x85\xa4, VARIATION SELECTOR-117
U+E0165, \xf3\xa0\x85\xa5, VARIATION SELECTOR-118
U+E0166, \xf3\xa0\x85\xa6, VARIATION SELECTOR-119
U+E0167, \xf3\xa0\x85\xa7, VARIATION SELECTOR-120
U+E0168, \xf3\xa0\x85\xa8, VARIATION SELECTOR-121
U+E0169, \xf3\xa0\x85\xa9, VARIATION SELECTOR-122
U+E016A, \xf3\xa0\x85\xaa, VARIATION SELECTOR-123
U+E016B, \xf3\xa0\x85\xab, VARIATION SELECTOR-124
U+E016C, \xf3\xa0\x85\xac, VARIATION SELECTOR-125
U+E016D, \xf3\xa0\x85\xad, VARIATION SELECTOR-126
U+E016E, \xf3\xa0\x85\xae, VARIATION SELECTOR-127
U+E016F, \xf3\xa0\x85\xaf, VARIATION SELECTOR-128
U+E0170, \xf3\xa0\x85\xb0, VARIATION SELECTOR-129
U+E0171, \xf3\xa0\x85\xb1, VARIATION SELECTOR-130
U+E0172, \xf3\xa0\x85\xb2, VARIATION SELECTOR-131
U+E0173, \xf3\xa0\x85\xb3, VARIATION SELECTOR-132
U+E0174, \xf3\xa0\x85\xb4, VARIATION SELECTOR-133
U+E0175, \xf3\xa0\x85\xb5, VARIATION SELECTOR-134
U+E0176, \xf3\xa0\x85\xb6, VARIATION SELECTOR-135
U+E0177, \xf3\xa0\x85\xb7, VARIATION SELECTOR-136
U+E0178, \xf3\xa0\x85\xb8, VARIATION SELECTOR-137
U+E0179, \xf3\xa0\x85\xb9, VARIATION SELECTOR-138
U+E017A, \xf3\xa0\x85\xba, VARIATION SELECTOR-139
U+E017B, \xf3\xa0\x85\xbb, VARIATION SELECTOR-140
U+E017C, \xf3\xa0\x85\xbc, VARIATION SELECTOR-141
U+E017D, \xf3\xa0\x85\xbd, VARIATION SELECTOR-142
U+E017E, \xf3\xa0\x85\xbe, VARIATION SELECTOR-143
U+E017F, \xf3\xa0\x85\xbf, VARIATION SELECTOR-144
U+E0180, \xf3\xa0\x86\x80, VARIATION SELECTOR-145
U+E0181, \xf3\xa0\x86\x81, VARIATION SELECTOR-146
U+E0182, \xf3\xa0\x86\x82, VARIATION SELECTOR-147
U+E0183, \xf3\xa0\x86\x83, VARIATION SELECTOR-148
U+E0184, \xf3\xa0\x86\x84, VARIATION SELECTOR-149
U+E0185, \xf3\xa0\x86\x85, VARIATION SELECTOR-150
U+E0186, \xf3\xa0\x86\x86, VARIATION SELECTOR-151
U+E0187, \xf3\xa0\x86\x87, VARIATION SELECTOR-152
U+E0188, \xf3\xa0\x86\x88, VARIATION SELECTOR-153
U+E0189, \xf3\xa0\x86\x89, VARIATION SELECTOR-154
U+E018A, \xf3\xa0\x86\x8a, VARIATION SELECTOR-155
U+E018B, \xf3\xa0\x86\x8b, VARIATION SELECTOR-156
U+E018C, \xf3\xa0\x86\x8c, VARIATION SELECTOR-157
U+E018D, \xf3\xa0\x86\x8d, VARIATION SELECTOR-158
U+E018E, \xf3\xa0\x86\x8e, VARIATION SELECTOR-159
U+E018F, \xf3\xa0\x86\x8f, VARIATION SELECTOR-160
U+E0190, \xf3\xa0\x86\x90, VARIATION SELECTOR-161
U+E0191, \xf3\xa0\x86\x91, VARIATION SELECTOR-162
U+E0192, \xf3\xa0\x86\x92, VARIATION SELECTOR-163
U+E0193, \xf3\xa0\x86\x93, VARIATION SELECTOR-164
U+E0194, \xf3\xa0\x86\x94, VARIATION SELECTOR-165
U+E0195, \xf3\xa0\x86\x95, VARIATION SELECTOR-166
U+E0196, \xf3\xa0\x86\x96, VARIATION SELECTOR-167
U+E0197, \xf3\xa0\x86\x97, VARIATION SELECTOR-168
U+E0198, \xf3\xa0\x86\x98, VARIATION SELECTOR-169
